Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Linked List Implementation,Graph Theory Application,True,False,Data Structure,,llama3-70b,lora_70b_en_v0,computer science,
Stack Overflow Handling,Tree Traversal Algorithm,True,False,Data Structure,,llama3-70b,lora_70b_en_v0,computer science,
SQL Injection Attack,Denial of Service Attack,True,False,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0,computer science,
Harvard Architecture,Cache Memory Hierarchy,True,False,Computer Architecture,,llama3-70b,lora_70b_en_v0,computer science,
Cache Memory Hierarchy,Von Neumann Architecture,True,True,Computer Architecture,Computer Architecture,llama3-70b,lora_70b_en_v0,computer science,
Deep Learning Neural Network,Graph Theory Application,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Graph Theory Application,Logarithmic Space Complexity,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
RISC Instruction Set,Agile Project Management,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
RISC Instruction Set,Tree Traversal Algorithm,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
SMTP Email Protocol,Polynomial Time Algorithm,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Cloud-Based Database,Graph Theory Application,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Linear Time Complexity,Tree Traversal Algorithm,False,True,,Algorithmic Complexity,llama3-70b,lora_70b_en_v0,computer science,
Deep Learning Neural Network,Denial of Service Attack,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Augmented Reality Interface,Cache Memory Hierarchy,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Python Syntax,Von Neumann Architecture,False,False,,,llama3-70b,lora_70b_en_v0,computer science,
Couch Potato,Outdoor Adventurer,True,False,Leisure Activity,,llama3-70b,lora_70b_en_v0,sociology,
Entrepreneur,Blue Collar Worker,True,False,Occupational Status,,llama3-70b,lora_70b_en_v0,sociology,
Nuclear Family,Extended Family,True,True,Family Structure,Family Structure,llama3-70b,lora_70b_en_v0,sociology,
Sports Enthusiast,Outdoor Adventurer,True,True,Leisure Activity,Personality traits,llama3-70b,lora_70b_en_v0,sociology,
Ethnic Minority,Immigrant Community,True,True,Cultural Identity,Demographic Characteristics,llama3-70b,lora_70b_en_v0,sociology,
Close-Knit Community,Loose Acquaintances,True,True,Social Network,Social Cohesion,llama3-70b,lora_70b_en_v0,sociology,
Long-Term Resident,Recent Migrant,True,True,Residential Mobility,Duration of Residence,llama3-70b,lora_70b_en_v0,sociology,
Single Parent Household,Nuclear Family,True,True,Family Structure,Family Structure,llama3-70b,lora_70b_en_v0,sociology,
Bachelor's Degree,Master's Degree,True,True,Education Level,Education Level,llama3-70b,lora_70b_en_v0,sociology,
Online Network,Isolated Individual,True,False,Social Network,,llama3-70b,lora_70b_en_v0,sociology,
Counterculture,Outdoor Adventurer,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Isolated Individual,Extended Family,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Unemployed,Outdoor Adventurer,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Artistic Pursuits,Poverty Line,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Socialist,Immigrant Community,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
White Collar Worker,Recent Migrant,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Socialist,Couch Potato,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Suburban Area,Nuclear Family,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Frequent Mover,Single Parent Household,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Isolated Individual,Entrepreneur,False,False,,,llama3-70b,lora_70b_en_v0,sociology,
Introverted Thinker,Intuitive Perceiver,True,False,Personality Type,,llama3-70b,lora_70b_en_v0,psychology,
Extrinsically Motivated,Achievement-Oriented,True,True,Motivation,Motivation,llama3-70b,lora_70b_en_v0,psychology,
Avoidantly Attached,Securely Attached,True,True,Attachment Style,Attachment Style,llama3-70b,lora_70b_en_v0,psychology,
Setback Recoverer,Crisis Handler,True,True,Resilience,Resilience,llama3-70b,lora_70b_en_v0,psychology,
Emotional Suppressor,Emotional Expresser,True,True,Emotional Regulation,Emotional Regulation,llama3-70b,lora_70b_en_v0,psychology,
Rationalizer,Suppressor,True,False,Coping Mechanism,,llama3-70b,lora_70b_en_v0,psychology,
Auditory Learner,Visual Learner,True,True,Learning Style,Learning Style,llama3-70b,lora_70b_en_v0,psychology,
Self-Doubter,Overachiever,True,False,Self-Esteem,,llama3-70b,lora_70b_en_v0,psychology,
Reading-Writing Learner,Kinesthetic Learner,True,True,Learning Style,Learning Style,llama3-70b,lora_70b_en_v0,psychology,
Intrinsically Motivated,Socially Driven,True,False,Motivation,,llama3-70b,lora_70b_en_v0,psychology,
Crisis Handler,Insecure Person,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Large Family Circle,Intuitive Perceiver,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Emotional Avoider,Achievement-Oriented,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Fear-Driven,Crisis Handler,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Close-Knit Friend Group,Emotional Expresser,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Intrinsically Motivated,Crisis Handler,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Setback Recoverer,Visual Learner,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Large Family Circle,Securely Attached,False,True,,Parental Care,llama3-70b,lora_70b_en_v0,psychology,
Introverted Thinker,Overachiever,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Introverted Thinker,Kinesthetic Learner,False,False,,,llama3-70b,lora_70b_en_v0,psychology,
Bullish Trend,Bearish Trend,True,True,Market Sentiment,Market Trend,llama3-70b,lora_70b_en_v0,finance,
Bearish Trend,Market Volatility,True,False,Market Sentiment,,llama3-70b,lora_70b_en_v0,finance,
Bearish Trend,Economic Uncertainty,True,True,Market Sentiment,Market Sentiment,llama3-70b,lora_70b_en_v0,finance,
Market Penetration,Cost Leadership Strategy,True,False,Growth Strategy,,llama3-70b,lora_70b_en_v0,finance,
Retail Business,Technology Sector,True,False,Industry Type,,llama3-70b,lora_70b_en_v0,finance,
Low Debt Ratio,High Debt Ratio,True,True,Financial Leverage,Debt Ratio,llama3-70b,lora_70b_en_v0,finance,
Turnaround Expertise,Seasoned Leadership,True,True,Management Experience,Management Experience,llama3-70b,lora_70b_en_v0,finance,
Manufacturing Firm,Technology Sector,True,False,Industry Type,,llama3-70b,lora_70b_en_v0,finance,
Economic Boom,Stagflation,True,False,Macroeconomic Conditions,,llama3-70b,lora_70b_en_v0,finance,
Inflationary Pressure,Stagflation,True,True,Macroeconomic Conditions,Economic Instability,llama3-70b,lora_70b_en_v0,finance,
Cost Leadership Strategy,Developed Economy,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Cost Leadership Strategy,Duopoly Market,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Small Cap,Bearish Trend,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Organic Growth,Bearish Trend,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Deflationary Environment,Market Volatility,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Industry-Specific Laws,Cost Leadership Strategy,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Trade Agreements,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Family Owned Business,High Debt Ratio,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Bearish Trend,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0,finance,
Large Cap,Technology Sector,False,False,,,llama3-70b,lora_70b_en_v0,finance,
minimal sustainability efforts,leading sustainability practices,True,True,Environmental Sustainability,Sustainability,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
limited natural features,barren landscape,True,True,Natural Landscape,Urban morphology,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
apartment complexes,townhouses,True,True,Housing Types,Housing Type,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
megacity,urban core,True,True,Population Density,Urbanization,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
megacity,high-rise district,True,True,Population Density,Urbanization,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
airport hub,bike lanes,True,False,Transportation Infrastructure,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
limited cultural diversity,moderate cultural diversity,True,True,Cultural Diversity,Cultural diversity,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
world heritage site,moderate historical significance,True,True,Historical Significance,Cultural Significance,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
moderate sustainability efforts,minimal sustainability efforts,True,True,Environmental Sustainability,Sustainability efforts,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
sparse settlements,high-rise district,True,False,Population Density,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
sparse settlements,leading sustainability practices,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
no historical significance,barren landscape,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
minimal sustainability efforts,townhouses,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
industrial zone,urban core,False,True,,Urban morphology,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
public transit system,knowledge economy,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
pedestrian-friendly streets,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
limited cultural diversity,bike lanes,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
minimal sustainability efforts,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
basic public services,minimal sustainability efforts,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
world-class public services,high-rise district,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,urban studies,
Frequency of a gamma ray,Frequency of a radio wave,True,True,Frequency of a wave,Frequency,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Absolute zero,Room temperature,True,True,Temperature of a gas,Temperature,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Charge of a proton,Charge of a capacitor,True,False,Electric charge,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Magnetic field of Jupiter,Magnetic field of a refrigerator magnet,True,True,Magnetic field strength,Magnetic field strength,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Frequency of visible light,Frequency of a cosmic ray,True,True,Frequency of a wave,Frequency,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Magnetic field of a neutron star,Magnetic field of Jupiter,True,True,Magnetic field strength,Magnetic field,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Magnetic field of Earth,Magnetic field of Jupiter,True,True,Magnetic field strength,Magnetic field of a planet,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Magnetic field of Earth,Magnetic field of a neodymium magnet,True,True,Magnetic field strength,Magnetic field strength,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Height of a human,Diameter of a hydrogen atom,True,False,Length of an object,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Lifespan of a mayfly,Age of the Universe,True,False,Time duration,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Pressure at the top of Mount Everest,Frequency of a radio wave,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Energy of a supernova,Charge of a capacitor,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Charge of a capacitor,Speed of sound,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Mass of a car,Magnetic field of a refrigerator magnet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Diameter of a hydrogen atom,Frequency of a cosmic ray,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Pressure inside a hot air balloon,Magnetic field of Jupiter,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Frequency of visible light,Magnetic field of Jupiter,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Mass of an electron,Pressure inside a nuclear reactor,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Planck length,Magnetic field of a neodymium magnet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Charge of a capacitor,Kinetic energy of a bullet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,physics,
Sound sleeper,Insomniac,True,True,Sleep quality,Sleep quality,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Light drinker,Heavy drinker,True,True,Alcohol consumption,Alcohol consumption,mixtral-8x22b-instruct,lora_70b_en_v0,health,
No mental illness,Severe mental illness,True,True,Mental health status,Mental health status,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Lightly active,Very active,True,True,Physical activity level,Physical activity level,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Excessive sun exposure,No sun exposure,True,True,Sun exposure,UV radiation,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Genetic protection,Mild genetic predisposition,True,True,Genetic predisposition,Genetic predisposition,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Minimal sun exposure,Excessive sun exposure,True,True,Sun exposure,UV radiation,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Low pollution,Minimal pollution,True,True,Environmental pollution,Air Quality,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Minimal pollution,No pollution,True,True,Environmental pollution,Environmental pollution,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Genetic protection,No genetic predisposition,True,True,Genetic predisposition,Genetic predisposition,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Limited sun exposure,Insomniac,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Non-smoker,Heavy drinker,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Social smoker,Severe mental illness,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Excessive sun exposure,Insomniac,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
High-protein,No sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
High pollution,Mild genetic predisposition,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Moderate pollution,Excessive sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
No pollution,Excessive sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Moderate genetic predisposition,Minimal pollution,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
Limited sun exposure,No pollution,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,health,
silicon carbide,germanium,True,True,Type of substrate,Semiconductor material,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
trace amount,moderate concentration,True,True,Doping concentration,concentration,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
boiling point of water,room temperature,True,True,Temperature of the furnace,temperature,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
fast spin,idle,True,False,Rotation speed of the wafer,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
heartbeat,blink of an eye,True,False,Duration of the process,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
Blu-ray disc,CD,True,False,Thickness of the wafer,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
melting point of silicon,room temperature,True,False,Temperature of the furnace,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
argon,hydrogen,True,False,Type of gas used,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
flood,trickle,True,False,Flow rate of the gas,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
credit card,paper thin,True,False,Thickness of the wafer,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
fast spin,boiling point of silicon,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
stream,heartbeat,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
boiling point of silicon,germanium,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
oxygen,silicon,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
boiling point of water,heartbeat,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
phosphorus,moderate concentration,False,True,,Dopant concentration,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
high concentration,room temperature,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
pressure in outer space,boiling point of water,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
maximum spin,moderate concentration,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
minute,CD,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,semiconductor manufacturing,
MariaDB,Cassandra,True,True,Database Management System,Database Management System,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Buddy,Jenkins,True,False,CI/CD Tool,,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Linux,Fedora,True,True,Operating System,Operating System,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Redis,Cassandra,True,True,Database Management System,Data Storage,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Rancher,CoreOS,True,False,Containerization Platform,,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Laravel,Ruby on Rails,True,True,Web Framework,Web Framework,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Django,React,True,False,Web Framework,,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
ASP.NET,Flask,True,,Web Framework,,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Oracle VM VirtualBox,Red Hat Virtualization,True,True,Virtualization Platform,Virtualization Platform,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Rackspace,Alibaba Cloud,True,True,Cloud Service Provider,Cloud Computing,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
Kubernetes,Cassandra,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0,computer science,
