Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Gold Plating,Ideal Gas,False,,,,llama3-70b,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Guitar String,Ceramic Fiber,False,False,,,llama3-70b,lora_70b_en_v0_alt,physics,
Laser Diode,Water,False,,,,llama3-70b,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Radio Wave,Refrigerator,False,False,,,llama3-70b,lora_70b_en_v0_alt,physics,
Ceramic Fiber,Laser Diode,False,False,,,llama3-70b,lora_70b_en_v0_alt,physics,
Prism,Gravitational Wave,False,,,,llama3-70b,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Sleepwalker,Nap Lover,True,False,Sleep Pattern,,llama3-70b,lora_70b_en_v0_alt,health,
Athletic Build,Underweight,True,False,Body Mass Index,,llama3-70b,lora_70b_en_v0_alt,health,
Flexitarian,Omnivore,True,True,Diet Type,Dietary Patterns,llama3-70b,lora_70b_en_v0_alt,health,
Factory Worker,Office Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt,health,
Office Worker,Farmer,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt,health,
Obese,Underweight,True,True,Body Mass Index,Body Mass Index (BMI),llama3-70b,lora_70b_en_v0_alt,health,
Factory Worker,Construction Worker,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v0_alt,health,
Firefighter,Healthcare Professional,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt,health,
Healthcare Professional,Factory Worker,True,False,Occupational Hazards,,llama3-70b,lora_70b_en_v0_alt,health,
Vegetarian,Pescatarian,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v0_alt,health,
Prescription Follower,Nap Lover,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Factory Worker,Underweight,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Dose Adjuster,Omnivore,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Flexitarian,Mountain Dweller,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Chain Smoker,Office Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Non Smoker,Farmer,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Prescription Follower,Underweight,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Healthy Family,Construction Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Light Sleeper,Healthcare Professional,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Desert Resident,Factory Worker,False,False,,,llama3-70b,lora_70b_en_v0_alt,health,
Deep Ultraviolet,Extreme Ultraviolet,True,,Lithography Wavelength,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Silicon Carbide,Silicon on Insulator,True,,Type of Wafer Material,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
High-K Dielectric,Silicon Nitride,True,,Dielectric Material Used,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Flip Chip,System-in-Package,True,,Packaging Technology,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Nanowire,Gate-All-Around,True,False,Pattern of Transistor Gate,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,
Silicon Dioxide,Low-K Dielectric,True,,Dielectric Material Used,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Gold,Tungsten,True,,Type of Interconnect Metal,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Low-K Dielectric,High-K Dielectric,True,,Dielectric Material Used,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Dry Etching,Plasma Etching,True,,Type of Etching Process,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
KrF Excimer Laser,Argon Fluoride,True,,Lithography Wavelength,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,"
System-in-Package,Extreme Ultraviolet,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Wet Etching,Silicon on Insulator,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Wire Bonding,Silicon Dioxide,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Chemical Vapor Deposition,Silicon Nitride,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Deep Ultraviolet,System-in-Package,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Copper,Gate-All-Around,False,False,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,
Class 1000,High-K Dielectric,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Bulk Silicon,Low-K Dielectric,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Copper,Plasma Etching,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Argon Fluoride,Reactive Ion Etching,False,,,,llama3-70b,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,"
Denial of Service Attack,Ransomware Malware,True,False,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0_alt,computer science,
Queue Data Type,Graph Theory Application,True,,Data Structure,,llama3-70b,lora_70b_en_v0_alt,computer science,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Linear Time Complexity,Logarithmic Space Complexity,True,False,Computational Complexity,,llama3-70b,lora_70b_en_v0_alt,computer science,
Lean Software Development,Agile Project Management,True,True,Software Development Methodology,Adoption of Agile Methodologies,llama3-70b,lora_70b_en_v0_alt,computer science,
Graph Theory Application,Tree Traversal Algorithm,True,,Data Structure,,llama3-70b,lora_70b_en_v0_alt,computer science,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Linked List Implementation,Graph Theory Application,True,,Data Structure,,llama3-70b,lora_70b_en_v0_alt,computer science,"1, 0, 0, NaN, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Stack Overflow Handling,Tree Traversal Algorithm,True,,Data Structure,,llama3-70b,lora_70b_en_v0_alt,computer science,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SQL Injection Attack,Denial of Service Attack,True,,Cybersecurity Threat,,llama3-70b,lora_70b_en_v0_alt,computer science,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
