Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Inertial Frame,Ceramic Fiber,False,,llama3-70b,physics
Frictionless Pulley,Prism,False,,llama3-70b,physics
Glass Lens,Vibrating Diaphragm,False,,llama3-70b,physics
Healthy Family,Heart Disease Family,True,Family Medical History,llama3-70b,health
Avid Hiker,Marathon Runner,True,Physical Activity Level,llama3-70b,health
Desert Resident,Beachside Resident,True,Environmental Exposure,llama3-70b,health
Treatment Non-Adherent,Medication Abuser,True,Medication Adherence,llama3-70b,health
Avid Hiker,Couch Potato,True,Physical Activity Level,llama3-70b,health
Chain Smoker,Heavy Smoker,True,Smoking Status,llama3-70b,health
Muscular Build,Athletic Build,True,Body Mass Index,llama3-70b,health
Diabetic Family,Cancer Survivor Family,True,Family Medical History,llama3-70b,health
Omnivore,Vegan,True,Diet Type,llama3-70b,health
City Dweller,Rural Resident,True,Environmental Exposure,llama3-70b,health
Avid Hiker,Heart Disease Family,False,,llama3-70b,health
Avid Hiker,Medication Abuser,False,,llama3-70b,health
Light Sleeper,Factory Worker,False,,llama3-70b,health
Cancer Survivor Family,Marathon Runner,False,,llama3-70b,health
Vegan,Beachside Resident,False,,llama3-70b,health
Schizophrenic,Medication Abuser,False,,llama3-70b,health
Night Owl,Non Smoker,False,,llama3-70b,health
Medication Abuser,Couch Potato,False,,llama3-70b,health
Schizophrenic,Avid Hiker,False,,llama3-70b,health
Marathon Runner,Heavy Smoker,False,,llama3-70b,health
Wire Bonding,Flip Chip,True,Packaging Technology,llama3-70b,semiconductor manufacturing
Memory Chip,Microprocessor,True,Type of Semiconductor Device,llama3-70b,semiconductor manufacturing
Argon Fluoride,KrF Excimer Laser,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing
System-in-Package,Through-Silicon Via,True,Packaging Technology,llama3-70b,semiconductor manufacturing
Wire Bonding,System-in-Package,True,Packaging Technology,llama3-70b,semiconductor manufacturing
Wet Etching,Dry Etching,True,Type of Etching Process,llama3-70b,semiconductor manufacturing
Gold,Tungsten,True,Type of Interconnect Metal,llama3-70b,semiconductor manufacturing
Molecular Beam Epitaxy,Chemical Vapor Deposition,True,Method of Doping,llama3-70b,semiconductor manufacturing
Deep Ultraviolet,Extreme Ultraviolet,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing
Molecular Beam Epitaxy,Ion Implantation,True,Method of Doping,llama3-70b,semiconductor manufacturing
Gate-All-Around,Flip Chip,False,,llama3-70b,semiconductor manufacturing
Silicon Dioxide,Microprocessor,False,,llama3-70b,semiconductor manufacturing
Plasma Etching,KrF Excimer Laser,False,,llama3-70b,semiconductor manufacturing
Wet Etching,Bulk Silicon,False,,llama3-70b,semiconductor manufacturing
Nanowire,Through-Silicon Via,False,,llama3-70b,semiconductor manufacturing
Dry Etching,System-in-Package,False,,llama3-70b,semiconductor manufacturing
Class 100000,Dry Etching,False,,llama3-70b,semiconductor manufacturing
Aluminum,Gate-All-Around,False,,llama3-70b,semiconductor manufacturing
Class 100,Chemical Vapor Deposition,False,,llama3-70b,semiconductor manufacturing
Class 100,Aluminum,False,,llama3-70b,semiconductor manufacturing
Cache Memory Hierarchy,Harvard Architecture,True,Computer Architecture,llama3-70b,computer science
Deep Learning Neural Network,Natural Language Processing,True,Artificial Intelligence Technique,llama3-70b,computer science
Waterfall Development Cycle,Agile Project Management,True,Software Development Methodology,llama3-70b,computer science
Relational Database Management,NoSQL Document Store,True,Database System,llama3-70b,computer science
NoSQL Document Store,Graph Database Model,True,Database System,llama3-70b,computer science
Kanban Workflow,Waterfall Development Cycle,True,Software Development Methodology,llama3-70b,computer science
Logarithmic Space Complexity,Linear Time Complexity,True,Computational Complexity,llama3-70b,computer science
SQL Injection Attack,Denial of Service Attack,True,Cybersecurity Threat,llama3-70b,computer science
Python Syntax,JavaScript Engine,True,Programming Language,llama3-70b,computer science
Computer Vision Application,Natural Language Processing,True,Artificial Intelligence Technique,llama3-70b,computer science
Phishing Email Campaign,HTTP Request Method,False,,llama3-70b,computer science
Natural Language Processing,Waterfall Development Cycle,False,,llama3-70b,computer science
HTTP Request Method,Harvard Architecture,False,,llama3-70b,computer science
NP-Complete Problem,Natural Language Processing,False,,llama3-70b,computer science
Phishing Email Campaign,Agile Project Management,False,,llama3-70b,computer science
Voice User Interface,Python Syntax,False,,llama3-70b,computer science
SMTP Email Protocol,NoSQL Document Store,False,,llama3-70b,computer science
Kanban Workflow,Graph Database Model,False,,llama3-70b,computer science
Phishing Email Campaign,Lean Software Development,False,,llama3-70b,computer science
Queue Data Type,Linear Time Complexity,False,,llama3-70b,computer science
Blended Family,Nuclear Family,True,Family Structure,llama3-70b,sociology
Close-Knit Community,Online Network,True,Social Network,llama3-70b,sociology
Immigrant Community,Mainstream Culture,True,Cultural Identity,llama3-70b,sociology
Frequent Mover,Recent Migrant,True,Residential Mobility,llama3-70b,sociology
Working Class,Poverty Line,True,Economic Status,llama3-70b,sociology
Christian,Hindu,True,Religious Affiliation,llama3-70b,sociology
Artistic Pursuits,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology
Upper Class,Poverty Line,True,Economic Status,llama3-70b,sociology
Liberal Democrat,Libertarian,True,Political Ideology,llama3-70b,sociology
Counterculture,Ethnic Minority,True,Cultural Identity,llama3-70b,sociology
Libertarian,Online Network,False,,llama3-70b,sociology
Sports Enthusiast,Nomadic Lifestyle,False,,llama3-70b,sociology
Single Parent Household,Mainstream Culture,False,,llama3-70b,sociology
Atheist,Recent Migrant,False,,llama3-70b,sociology
Extended Family,Loose Acquaintances,False,,llama3-70b,sociology
Close-Knit Community,Poverty Line,False,,llama3-70b,sociology
Couch Potato,Hindu,False,,llama3-70b,sociology
Isolated Individual,Outdoor Adventurer,False,,llama3-70b,sociology
Blue Collar Worker,Poverty Line,False,,llama3-70b,sociology
Loose Acquaintances,Libertarian,False,,llama3-70b,sociology
Confronter,Rationalizer,True,Coping Mechanism,llama3-70b,psychology
Availability Heurist,Confirmation Biased,True,Cognitive Bias,llama3-70b,psychology
Auditory Learner,Visual Learner,True,Learning Style,llama3-70b,psychology
Emotional Explorer,Emotional Avoider,True,Emotional Regulation,llama3-70b,psychology
Hands-On Learner,Reading-Writing Learner,True,Learning Style,llama3-70b,psychology
Suppressor,Rationalizer,True,Coping Mechanism,llama3-70b,psychology
Confronter,Denier,True,Coping Mechanism,llama3-70b,psychology
Anchored Thinker,Sunk Cost Fallacy,True,Cognitive Bias,llama3-70b,psychology
Emotional Explorer,Emotional Expresser,True,Emotional Regulation,llama3-70b,psychology
Confident Individual,Self-Doubter,True,Self-Esteem,llama3-70b,psychology
Insecure Person,Rationalizer,False,,llama3-70b,psychology
Adversity Overcomer,Confirmation Biased,False,,llama3-70b,psychology
Emotional Suppressor,Intuitive Perceiver,False,,llama3-70b,psychology
Confirmation Biased,Emotional Avoider,False,,llama3-70b,psychology
Confident Individual,Rationalizer,False,,llama3-70b,psychology
Fear-Driven,Denier,False,,llama3-70b,psychology
Close-Knit Friend Group,Sunk Cost Fallacy,False,,llama3-70b,psychology
Intuitive Perceiver,Suppressor,False,,llama3-70b,psychology
Intuitive Perceiver,Self-Doubter,False,,llama3-70b,psychology
Stress Manager,Introverted Thinker,False,,llama3-70b,psychology
Small Cap,Mid Cap,True,Company Size,llama3-70b,finance
Lax Regulations,Industry-Specific Laws,True,Regulatory Environment,llama3-70b,finance
Monopoly Market,Oligopoly Market,True,Competitive Landscape,llama3-70b,finance
Cost Leadership Strategy,Diversification Plan,True,Growth Strategy,llama3-70b,finance
European Union,Emerging Market,True,Geographic Location,llama3-70b,finance
Financial Institution,Manufacturing Firm,True,Industry Type,llama3-70b,finance
Developed Economy,North American Market,True,Geographic Location,llama3-70b,finance
Conservative Financing,Low Debt Ratio,True,Financial Leverage,llama3-70b,finance
Bearish Trend,Bullish Trend,True,Market Sentiment,llama3-70b,finance
Economic Uncertainty,Bullish Trend,True,Market Sentiment,llama3-70b,finance
Optimal Capital Structure,Monopoly Market,False,,llama3-70b,finance
Monopoly Market,Mid Cap,False,,llama3-70b,finance
Market Penetration,Industry-Specific Laws,False,,llama3-70b,finance
Monetary Policy,Oligopoly Market,False,,llama3-70b,finance
Emerging Market,Stringent Regulations,False,,llama3-70b,finance
Manufacturing Firm,Diversification Plan,False,,llama3-70b,finance
Economic Uncertainty,High Debt Ratio,False,,llama3-70b,finance
Retail Business,Industry-Specific Laws,False,,llama3-70b,finance
Market Penetration,Emerging Market,False,,llama3-70b,finance
Stable Market,European Union,False,,llama3-70b,finance
limited public services,specialized public services,True,Public Services,mixtral-8x22b-instruct,urban studies
pedestrian-friendly streets,airport hub,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies
polluted environment,advanced sustainability efforts,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies
basic public services,world-class public services,True,Public Services,mixtral-8x22b-instruct,urban studies
knowledge economy,manufacturing base,True,Economic Activity,mixtral-8x22b-instruct,urban studies
urban core,megacity,True,Population Density,mixtral-8x22b-instruct,urban studies
bike lanes,pedestrian-friendly streets,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies
barren landscape,moderate natural features,True,Natural Landscape,mixtral-8x22b-instruct,urban studies
high historical significance,no historical significance,True,Historical Significance,mixtral-8x22b-instruct,urban studies
protected natural reserve,barren landscape,True,Natural Landscape,mixtral-8x22b-instruct,urban studies
protected natural reserve,specialized public services,False,,mixtral-8x22b-instruct,urban studies
single-family homes,abundant natural features,False,,mixtral-8x22b-instruct,urban studies
world-class public services,no historical significance,False,,mixtral-8x22b-instruct,urban studies
townhouses,advanced sustainability efforts,False,,mixtral-8x22b-instruct,urban studies
social housing,world-class public services,False,,mixtral-8x22b-instruct,urban studies
advanced sustainability efforts,protected natural reserve,False,,mixtral-8x22b-instruct,urban studies
social housing,manufacturing base,False,,mixtral-8x22b-instruct,urban studies
no historical significance,megacity,False,,mixtral-8x22b-instruct,urban studies
single-family homes,pedestrian-friendly streets,False,,mixtral-8x22b-instruct,urban studies
bike lanes,moderate natural features,False,,mixtral-8x22b-instruct,urban studies
Pressure inside a hot air balloon,Atmospheric pressure at sea level,True,Pressure of a gas,mixtral-8x22b-instruct,physics
Magnetic field of Earth,Magnetic field of a neutron star,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Planck length,Length of a football field,True,Length of an object,mixtral-8x22b-instruct,physics
Surface temperature of the sun,Room temperature,True,Temperature of a gas,mixtral-8x22b-instruct,physics
Diameter of a hydrogen atom,Height of a human,True,Length of an object,mixtral-8x22b-instruct,physics
Energy of a supernova,Energy of a hurricane,True,Energy of a system,mixtral-8x22b-instruct,physics
Age of the Universe,Planck time,True,Time duration,mixtral-8x22b-instruct,physics
Frequency of a gamma ray,Frequency of visible light,True,Frequency of a wave,mixtral-8x22b-instruct,physics
Speed of light,Typical walking speed,True,Speed of an object,mixtral-8x22b-instruct,physics
Magnetic field of Jupiter,Magnetic field of a neodymium magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Magnetic field of Earth,Atmospheric pressure at sea level,False,,mixtral-8x22b-instruct,physics
Blink of an eye,Magnetic field of a neutron star,False,,mixtral-8x22b-instruct,physics
Mass of the Earth,Length of a football field,False,,mixtral-8x22b-instruct,physics
Charge of a lightning bolt,Room temperature,False,,mixtral-8x22b-instruct,physics
Energy of a lightning bolt,Height of a human,False,,mixtral-8x22b-instruct,physics
Charge of a capacitor,Energy of a hurricane,False,,mixtral-8x22b-instruct,physics
Frequency of visible light,Speed of a commercial jet,False,,mixtral-8x22b-instruct,physics
Speed of a commercial jet,Height of a human,False,,mixtral-8x22b-instruct,physics
Surface temperature of the sun,Kinetic energy of a bullet,False,,mixtral-8x22b-instruct,physics
Magnetic field of a neodymium magnet,Age of the Universe,False,,mixtral-8x22b-instruct,physics
Lightly active,Moderately active,True,Physical activity level,mixtral-8x22b-instruct,health
Very active,Sedentary,True,Physical activity level,mixtral-8x22b-instruct,health
No stress,High stress,True,Stress level,mixtral-8x22b-instruct,health
Lightly active,Sedentary,True,Physical activity level,mixtral-8x22b-instruct,health
Sedentary,Extremely active,True,Physical activity level,mixtral-8x22b-instruct,health
Low stress,Moderate stress,True,Stress level,mixtral-8x22b-instruct,health
Moderate smoker,Non-smoker,True,Smoking status,mixtral-8x22b-instruct,health
High-protein,Pescatarian,True,Dietary habits,mixtral-8x22b-instruct,health
Insomniac,Light sleeper,True,Sleep quality,mixtral-8x22b-instruct,health
Non-drinker,Heavy drinker,True,Alcohol consumption,mixtral-8x22b-instruct,health
No pollution,Moderately active,False,,mixtral-8x22b-instruct,health
Social smoker,Extremely active,False,,mixtral-8x22b-instruct,health
Mild mental illness,Moderately active,False,,mixtral-8x22b-instruct,health
Moderate pollution,Sedentary,False,,mixtral-8x22b-instruct,health
Low stress,Social smoker,False,,mixtral-8x22b-instruct,health
Heavy smoker,Sedentary,False,,mixtral-8x22b-instruct,health
Heavy smoker,Extremely active,False,,mixtral-8x22b-instruct,health
Sedentary,Moderate stress,False,,mixtral-8x22b-instruct,health
Low stress,Non-smoker,False,,mixtral-8x22b-instruct,health
Low pollution,Pescatarian,False,,mixtral-8x22b-instruct,health
idle,fast spin,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
pressure at the top of Mount Everest,pressure in outer space,True,Pressure of the chamber,mixtral-8x22b-instruct,semiconductor manufacturing
silicon,silicon carbide,True,Type of substrate,mixtral-8x22b-instruct,semiconductor manufacturing
blink of an eye,breath,True,Duration of the process,mixtral-8x22b-instruct,semiconductor manufacturing
flood,stream,True,Flow rate of the gas,mixtral-8x22b-instruct,semiconductor manufacturing
pressure at the bottom of the Mariana Trench,atmospheric pressure,True,Pressure of the chamber,mixtral-8x22b-instruct,semiconductor manufacturing
paper thin,CD,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
hydrogen,argon,True,Type of gas used,mixtral-8x22b-instruct,semiconductor manufacturing
slow spin,fast spin,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
antimony,boron,True,Type of dopant,mixtral-8x22b-instruct,semiconductor manufacturing
silicon,fast spin,False,,mixtral-8x22b-instruct,semiconductor manufacturing
CD,silicon carbide,False,,mixtral-8x22b-instruct,semiconductor manufacturing
trickle,breath,False,,mixtral-8x22b-instruct,semiconductor manufacturing
arsenic,atmospheric pressure,False,,mixtral-8x22b-instruct,semiconductor manufacturing
atmospheric pressure,stream,False,,mixtral-8x22b-instruct,semiconductor manufacturing
trace amount,atmospheric pressure,False,,mixtral-8x22b-instruct,semiconductor manufacturing
hour,CD,False,,mixtral-8x22b-instruct,semiconductor manufacturing
pressure at sea level,argon,False,,mixtral-8x22b-instruct,semiconductor manufacturing
minute,fast spin,False,,mixtral-8x22b-instruct,semiconductor manufacturing
blink of an eye,boron,False,,mixtral-8x22b-instruct,semiconductor manufacturing
PyCharm,Sublime Text,True,IDE/Text Editor,mixtral-8x22b-instruct,computer science
Java,Kotlin,True,Programming Language,mixtral-8x22b-instruct,computer science
NetBeans,Emacs,True,IDE/Text Editor,mixtral-8x22b-instruct,computer science
Subversion,Monotone,True,Version Control System,mixtral-8x22b-instruct,computer science
MariaDB,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science
CRI-O,Rancher,True,Containerization Platform,mixtral-8x22b-instruct,computer science
macOS,Solaris,True,Operating System,mixtral-8x22b-instruct,computer science
TeamCity,Travis CI,True,CI/CD Tool,mixtral-8x22b-instruct,computer science
Django,Laravel,True,Web Framework,mixtral-8x22b-instruct,computer science
Drone,Travis CI,True,CI/CD Tool,mixtral-8x22b-instruct,computer science
Cassandra,Sublime Text,False,,mixtral-8x22b-instruct,computer science
LXD,Kotlin,False,,mixtral-8x22b-instruct,computer science
C++,Red Hat Virtualization,False,,mixtral-8x22b-instruct,computer science
AngularJS,Emacs,False,,mixtral-8x22b-instruct,computer science
KVM,Monotone,False,,mixtral-8x22b-instruct,computer science
OpenShift,Cassandra,False,,mixtral-8x22b-instruct,computer science
Red Hat Virtualization,Rancher,False,,mixtral-8x22b-instruct,computer science
DigitalOcean,Rancher,False,,mixtral-8x22b-instruct,computer science
Chrome OS,Emacs,False,,mixtral-8x22b-instruct,computer science
Google Cloud,Solaris,False,,mixtral-8x22b-instruct,computer science
Native American,Caucasian,True,Ethnicity,mixtral-8x22b-instruct,sociology
Senior citizen,Middle-aged adult,True,Age,mixtral-8x22b-instruct,sociology
Anarchist,Liberal,True,Political ideology,mixtral-8x22b-instruct,sociology
Liberal,Libertarian,True,Political ideology,mixtral-8x22b-instruct,sociology
Buddhist,Christian,True,Religion,mixtral-8x22b-instruct,sociology
High school graduate,Bachelor's degree holder,True,Level of education,mixtral-8x22b-instruct,sociology
Suburban area,Coastal area,True,Geographic location,mixtral-8x22b-instruct,sociology
Senior citizen,Young adult,True,Age,mixtral-8x22b-instruct,sociology
Entrepreneur,Professional,True,Occupation,mixtral-8x22b-instruct,sociology
High school graduate,Master's degree holder,True,Level of education,mixtral-8x22b-instruct,sociology
Bachelor's degree holder,Caucasian,False,,mixtral-8x22b-instruct,sociology
Asian,Middle-aged adult,False,,mixtral-8x22b-instruct,sociology
Buddhist,Liberal,False,,mixtral-8x22b-instruct,sociology
Male,Libertarian,False,,mixtral-8x22b-instruct,sociology
Transgender,Christian,False,,mixtral-8x22b-instruct,sociology
Middle-aged adult,Bachelor's degree holder,False,,mixtral-8x22b-instruct,sociology
Anarchist,Coastal area,False,,mixtral-8x22b-instruct,sociology
Unemployed,Young adult,False,,mixtral-8x22b-instruct,sociology
Single individual,Professional,False,,mixtral-8x22b-instruct,sociology
Agnostic,Master's degree holder,False,,mixtral-8x22b-instruct,sociology
emotional understanding,social awareness,True,Empathy,mixtral-8x22b-instruct,psychology
goal-directed behavior,ambition,True,Motivation,mixtral-8x22b-instruct,psychology
vulnerability,anger,True,Neuroticism,mixtral-8x22b-instruct,psychology
altruism,trust,True,Agreeableness,mixtral-8x22b-instruct,psychology
self-consciousness,vulnerability,True,Neuroticism,mixtral-8x22b-instruct,psychology
drive,ambition,True,Motivation,mixtral-8x22b-instruct,psychology
self-worth,self-respect,True,Self-Esteem,mixtral-8x22b-instruct,psychology
perspective-taking,compassion,True,Empathy,mixtral-8x22b-instruct,psychology
drive,goal-directed behavior,True,Motivation,mixtral-8x22b-instruct,psychology
achievement-striving,dutifulness,True,Conscientiousness,mixtral-8x22b-instruct,psychology
excitement-seeking,ambition,False,,mixtral-8x22b-instruct,psychology
modesty,anger,False,,mixtral-8x22b-instruct,psychology
imagination,trust,False,,mixtral-8x22b-instruct,psychology
creativity,vulnerability,False,,mixtral-8x22b-instruct,psychology
hopefulness,ambition,False,,mixtral-8x22b-instruct,psychology
resilience,self-respect,False,,mixtral-8x22b-instruct,psychology
assertiveness,self-respect,False,,mixtral-8x22b-instruct,psychology
anger,compassion,False,,mixtral-8x22b-instruct,psychology
problem-solving,goal-directed behavior,False,,mixtral-8x22b-instruct,psychology
dutifulness,stress tolerance,False,,mixtral-8x22b-instruct,psychology
severe unemployment,full employment,True,Unemployment Rate,mixtral-8x22b-instruct,finance
bear market,market crash,True,Stock Market Performance,mixtral-8x22b-instruct,finance
low unemployment,high unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance
fiscal surplus,contractionary policy,True,Fiscal Policy,mixtral-8x22b-instruct,finance
record profits,losses,True,Corporate Profitability,mixtral-8x22b-instruct,finance
contractionary policy,expansionary policy,True,Fiscal Policy,mixtral-8x22b-instruct,finance
depression,recession,True,Gross Domestic Product (GDP),mixtral-8x22b-instruct,finance
disinflation,deflation,True,Inflation,mixtral-8x22b-instruct,finance
declining confidence,high confidence,True,Consumer Confidence,mixtral-8x22b-instruct,finance
disinflation,hyperinflation,True,Inflation,mixtral-8x22b-instruct,finance
high confidence,full employment,False,,mixtral-8x22b-instruct,finance
deflation,market crash,False,,mixtral-8x22b-instruct,finance
falling rates,contractionary policy,False,,mixtral-8x22b-instruct,finance
near-zero rates,restrictive policy,False,,mixtral-8x22b-instruct,finance
creeping inflation,stable exchange rate,False,,mixtral-8x22b-instruct,finance
neutral policy,losses,False,,mixtral-8x22b-instruct,finance
low unemployment,record profits,False,,mixtral-8x22b-instruct,finance
severe unemployment,expansionary policy,False,,mixtral-8x22b-instruct,finance
profitable,recession,False,,mixtral-8x22b-instruct,finance
moderate unemployment,recession,False,,mixtral-8x22b-instruct,finance
Top-ranked universities,Specialized vocational training centers,True,Education quality,gpt-3.5-turbo,urban studies
Violent crime hotspots,Low crime neighborhoods,True,Crime rate,gpt-3.5-turbo,urban studies
Financial services center,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies
Suburban neighborhoods with single-family homes,Urban core with high-rise buildings,True,Population density,gpt-3.5-turbo,urban studies
International cuisine restaurants,Multicultural festivals,True,Cultural diversity,gpt-3.5-turbo,urban studies
Revitalization of waterfront areas,Mixed-use developments,True,Urban renewal projects,gpt-3.5-turbo,urban studies
Ethnic enclaves,International cuisine restaurants,True,Cultural diversity,gpt-3.5-turbo,urban studies
Community parks,Green rooftops,True,Green space availability,gpt-3.5-turbo,urban studies
Tech startups hub,Financial services center,True,Economic activity,gpt-3.5-turbo,urban studies
State-of-the-art hospitals,Mobile medical units,True,Healthcare access,gpt-3.5-turbo,urban studies
Financial services center,International cuisine restaurants,False,,gpt-3.5-turbo,urban studies
Historic preservation initiatives,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies
Botanical gardens,Manufacturing district,False,,gpt-3.5-turbo,urban studies
Manufacturing district,Bicycle lanes,False,,gpt-3.5-turbo,urban studies
Community health clinics,Top-ranked universities,False,,gpt-3.5-turbo,urban studies
State-of-the-art hospitals,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies
Urban core with high-rise buildings,State-of-the-art hospitals,False,,gpt-3.5-turbo,urban studies
Gentrified neighborhoods,Suburban neighborhoods with single-family homes,False,,gpt-3.5-turbo,urban studies
Manufacturing district,Urban core with high-rise buildings,False,,gpt-3.5-turbo,urban studies
High burglary areas,Community parks,False,,gpt-3.5-turbo,urban studies
Time dilation,Lorentz transformations,True,Relativistic effects,gpt-3.5-turbo,physics
Lorentz force,Electromagnetic radiation,True,Electromagnetic interactions,gpt-3.5-turbo,physics
Work done,Entropy change,True,Thermodynamic processes,gpt-3.5-turbo,physics
Kinetic energy,Thermal energy,True,Energy of motion,gpt-3.5-turbo,physics
Dispersion,Interference,True,Wave phenomena,gpt-3.5-turbo,physics
Superposition,Wave-particle duality,True,Quantum properties,gpt-3.5-turbo,physics
Alpha decay,Fission,True,Nuclear reactions,gpt-3.5-turbo,physics
Relativistic momentum,Length contraction,True,Relativistic effects,gpt-3.5-turbo,physics
Quantum chromodynamics,Vacuum fluctuations,True,Quantum field theory,gpt-3.5-turbo,physics
Isothermal compression,Heat transfer,True,Thermodynamic processes,gpt-3.5-turbo,physics
Tunneling,Chemical energy,False,,gpt-3.5-turbo,physics
Quantum chromodynamics,Lorentz transformations,False,,gpt-3.5-turbo,physics
Quantum chromodynamics,Electromagnetic radiation,False,,gpt-3.5-turbo,physics
W boson,Entropy change,False,,gpt-3.5-turbo,physics
Tunneling,Thermal energy,False,,gpt-3.5-turbo,physics
Entropy change,Interference,False,,gpt-3.5-turbo,physics
Boson,Fission,False,,gpt-3.5-turbo,physics
Quantum electrodynamics,Time dilation,False,,gpt-3.5-turbo,physics
Potential energy,Interference,False,,gpt-3.5-turbo,physics
Mechanical energy,Vacuum fluctuations,False,,gpt-3.5-turbo,physics
Dehydrated,Thirsty,True,Hydration Status,gpt-3.5-turbo,health
Thirsty,Over-hydrated,True,Hydration Status,gpt-3.5-turbo,health
Social Drinker,Teetotaler,True,Alcohol Consumption,gpt-3.5-turbo,health
Light Sleeper,Insomniac,True,Sleep Quality,gpt-3.5-turbo,health
Light Sleeper,Deep Sleeper,True,Sleep Quality,gpt-3.5-turbo,health
Light Sleeper,Napper,True,Sleep Quality,gpt-3.5-turbo,health
Meditation,Exercise,True,Stress Coping Mechanism,gpt-3.5-turbo,health
Teetotaler,Weekend Partier,True,Alcohol Consumption,gpt-3.5-turbo,health
Fast Food Lover,Mediterranean,True,Dietary Preference,gpt-3.5-turbo,health
Screen Addict,Tech Detoxer,True,Screen Time,gpt-3.5-turbo,health
Light Sleeper,Thirsty,False,,gpt-3.5-turbo,health
Fast Food Lover,Family-Centric,False,,gpt-3.5-turbo,health
Tech Detoxer,Over-hydrated,False,,gpt-3.5-turbo,health
Vegan,Marathon Runner,False,,gpt-3.5-turbo,health
Meditation,Fast Food Lover,False,,gpt-3.5-turbo,health
Deep Sleeper,Limited User,False,,gpt-3.5-turbo,health
Exercise,Mediterranean,False,,gpt-3.5-turbo,health
Deep Sleeper,Tanned,False,,gpt-3.5-turbo,health
Socializing,Insomniac,False,,gpt-3.5-turbo,health
Heavy Drinker,Deep Sleeper,False,,gpt-3.5-turbo,health
Concave Wafers,Flat Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing
Concave Wafers,Convex Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing
