Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Frequent Mover,Single Parent Household,False,,llama3-70b,sociology
Isolated Individual,Entrepreneur,False,,llama3-70b,sociology
Introverted Thinker,Intuitive Perceiver,True,Personality Type,llama3-70b,psychology
Extrinsically Motivated,Achievement-Oriented,True,Motivation,llama3-70b,psychology
Avoidantly Attached,Securely Attached,True,Attachment Style,llama3-70b,psychology
Setback Recoverer,Crisis Handler,True,Resilience,llama3-70b,psychology
Emotional Suppressor,Emotional Expresser,True,Emotional Regulation,llama3-70b,psychology
Rationalizer,Suppressor,True,Coping Mechanism,llama3-70b,psychology
Auditory Learner,Visual Learner,True,Learning Style,llama3-70b,psychology
Self-Doubter,Overachiever,True,Self-Esteem,llama3-70b,psychology
Reading-Writing Learner,Kinesthetic Learner,True,Learning Style,llama3-70b,psychology
Intrinsically Motivated,Socially Driven,True,Motivation,llama3-70b,psychology
Crisis Handler,Insecure Person,False,,llama3-70b,psychology
Large Family Circle,Intuitive Perceiver,False,,llama3-70b,psychology
Emotional Avoider,Achievement-Oriented,False,,llama3-70b,psychology
Fear-Driven,Crisis Handler,False,,llama3-70b,psychology
Close-Knit Friend Group,Emotional Expresser,False,,llama3-70b,psychology
Intrinsically Motivated,Crisis Handler,False,,llama3-70b,psychology
Setback Recoverer,Visual Learner,False,,llama3-70b,psychology
Large Family Circle,Securely Attached,False,,llama3-70b,psychology
Introverted Thinker,Overachiever,False,,llama3-70b,psychology
Introverted Thinker,Kinesthetic Learner,False,,llama3-70b,psychology
Bullish Trend,Bearish Trend,True,Market Sentiment,llama3-70b,finance
Bearish Trend,Market Volatility,True,Market Sentiment,llama3-70b,finance
Bearish Trend,Economic Uncertainty,True,Market Sentiment,llama3-70b,finance
Market Penetration,Cost Leadership Strategy,True,Growth Strategy,llama3-70b,finance
Retail Business,Technology Sector,True,Industry Type,llama3-70b,finance
Low Debt Ratio,High Debt Ratio,True,Financial Leverage,llama3-70b,finance
Turnaround Expertise,Seasoned Leadership,True,Management Experience,llama3-70b,finance
Manufacturing Firm,Technology Sector,True,Industry Type,llama3-70b,finance
Economic Boom,Stagflation,True,Macroeconomic Conditions,llama3-70b,finance
Inflationary Pressure,Stagflation,True,Macroeconomic Conditions,llama3-70b,finance
Cost Leadership Strategy,Developed Economy,False,,llama3-70b,finance
Cost Leadership Strategy,Duopoly Market,False,,llama3-70b,finance
Small Cap,Bearish Trend,False,,llama3-70b,finance
Organic Growth,Bearish Trend,False,,llama3-70b,finance
Deflationary Environment,Market Volatility,False,,llama3-70b,finance
Industry-Specific Laws,Cost Leadership Strategy,False,,llama3-70b,finance
Trade Agreements,Technology Sector,False,,llama3-70b,finance
Family Owned Business,High Debt Ratio,False,,llama3-70b,finance
Bearish Trend,Technology Sector,False,,llama3-70b,finance
Large Cap,Technology Sector,False,,llama3-70b,finance
minimal sustainability efforts,leading sustainability practices,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies
limited natural features,barren landscape,True,Natural Landscape,mixtral-8x22b-instruct,urban studies
apartment complexes,townhouses,True,Housing Types,mixtral-8x22b-instruct,urban studies
megacity,urban core,True,Population Density,mixtral-8x22b-instruct,urban studies
megacity,high-rise district,True,Population Density,mixtral-8x22b-instruct,urban studies
airport hub,bike lanes,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies
limited cultural diversity,moderate cultural diversity,True,Cultural Diversity,mixtral-8x22b-instruct,urban studies
world heritage site,moderate historical significance,True,Historical Significance,mixtral-8x22b-instruct,urban studies
moderate sustainability efforts,minimal sustainability efforts,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies
sparse settlements,high-rise district,True,Population Density,mixtral-8x22b-instruct,urban studies
sparse settlements,leading sustainability practices,False,,mixtral-8x22b-instruct,urban studies
no historical significance,barren landscape,False,,mixtral-8x22b-instruct,urban studies
minimal sustainability efforts,townhouses,False,,mixtral-8x22b-instruct,urban studies
industrial zone,urban core,False,,mixtral-8x22b-instruct,urban studies
public transit system,knowledge economy,False,,mixtral-8x22b-instruct,urban studies
pedestrian-friendly streets,high-rise district,False,,mixtral-8x22b-instruct,urban studies
limited cultural diversity,bike lanes,False,,mixtral-8x22b-instruct,urban studies
minimal sustainability efforts,high-rise district,False,,mixtral-8x22b-instruct,urban studies
basic public services,minimal sustainability efforts,False,,mixtral-8x22b-instruct,urban studies
world-class public services,high-rise district,False,,mixtral-8x22b-instruct,urban studies
Frequency of a gamma ray,Frequency of a radio wave,True,Frequency of a wave,mixtral-8x22b-instruct,physics
Absolute zero,Room temperature,True,Temperature of a gas,mixtral-8x22b-instruct,physics
Charge of a proton,Charge of a capacitor,True,Electric charge,mixtral-8x22b-instruct,physics
Magnetic field of Jupiter,Magnetic field of a refrigerator magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Frequency of visible light,Frequency of a cosmic ray,True,Frequency of a wave,mixtral-8x22b-instruct,physics
Magnetic field of a neutron star,Magnetic field of Jupiter,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Magnetic field of Earth,Magnetic field of Jupiter,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Magnetic field of Earth,Magnetic field of a neodymium magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics
Height of a human,Diameter of a hydrogen atom,True,Length of an object,mixtral-8x22b-instruct,physics
Lifespan of a mayfly,Age of the Universe,True,Time duration,mixtral-8x22b-instruct,physics
Pressure at the top of Mount Everest,Frequency of a radio wave,False,,mixtral-8x22b-instruct,physics
Energy of a supernova,Charge of a capacitor,False,,mixtral-8x22b-instruct,physics
Charge of a capacitor,Speed of sound,False,,mixtral-8x22b-instruct,physics
Mass of a car,Magnetic field of a refrigerator magnet,False,,mixtral-8x22b-instruct,physics
Diameter of a hydrogen atom,Frequency of a cosmic ray,False,,mixtral-8x22b-instruct,physics
Pressure inside a hot air balloon,Magnetic field of Jupiter,False,,mixtral-8x22b-instruct,physics
Frequency of visible light,Magnetic field of Jupiter,False,,mixtral-8x22b-instruct,physics
Mass of an electron,Pressure inside a nuclear reactor,False,,mixtral-8x22b-instruct,physics
Planck length,Magnetic field of a neodymium magnet,False,,mixtral-8x22b-instruct,physics
Charge of a capacitor,Kinetic energy of a bullet,False,,mixtral-8x22b-instruct,physics
Sound sleeper,Insomniac,True,Sleep quality,mixtral-8x22b-instruct,health
Light drinker,Heavy drinker,True,Alcohol consumption,mixtral-8x22b-instruct,health
No mental illness,Severe mental illness,True,Mental health status,mixtral-8x22b-instruct,health
Lightly active,Very active,True,Physical activity level,mixtral-8x22b-instruct,health
Excessive sun exposure,No sun exposure,True,Sun exposure,mixtral-8x22b-instruct,health
Genetic protection,Mild genetic predisposition,True,Genetic predisposition,mixtral-8x22b-instruct,health
Minimal sun exposure,Excessive sun exposure,True,Sun exposure,mixtral-8x22b-instruct,health
Low pollution,Minimal pollution,True,Environmental pollution,mixtral-8x22b-instruct,health
Minimal pollution,No pollution,True,Environmental pollution,mixtral-8x22b-instruct,health
Genetic protection,No genetic predisposition,True,Genetic predisposition,mixtral-8x22b-instruct,health
Limited sun exposure,Insomniac,False,,mixtral-8x22b-instruct,health
Non-smoker,Heavy drinker,False,,mixtral-8x22b-instruct,health
Social smoker,Severe mental illness,False,,mixtral-8x22b-instruct,health
Excessive sun exposure,Insomniac,False,,mixtral-8x22b-instruct,health
High-protein,No sun exposure,False,,mixtral-8x22b-instruct,health
High pollution,Mild genetic predisposition,False,,mixtral-8x22b-instruct,health
Moderate pollution,Excessive sun exposure,False,,mixtral-8x22b-instruct,health
No pollution,Excessive sun exposure,False,,mixtral-8x22b-instruct,health
Moderate genetic predisposition,Minimal pollution,False,,mixtral-8x22b-instruct,health
Limited sun exposure,No pollution,False,,mixtral-8x22b-instruct,health
silicon carbide,germanium,True,Type of substrate,mixtral-8x22b-instruct,semiconductor manufacturing
trace amount,moderate concentration,True,Doping concentration,mixtral-8x22b-instruct,semiconductor manufacturing
boiling point of water,room temperature,True,Temperature of the furnace,mixtral-8x22b-instruct,semiconductor manufacturing
fast spin,idle,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
heartbeat,blink of an eye,True,Duration of the process,mixtral-8x22b-instruct,semiconductor manufacturing
Blu-ray disc,CD,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
melting point of silicon,room temperature,True,Temperature of the furnace,mixtral-8x22b-instruct,semiconductor manufacturing
argon,hydrogen,True,Type of gas used,mixtral-8x22b-instruct,semiconductor manufacturing
flood,trickle,True,Flow rate of the gas,mixtral-8x22b-instruct,semiconductor manufacturing
credit card,paper thin,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing
fast spin,boiling point of silicon,False,,mixtral-8x22b-instruct,semiconductor manufacturing
stream,heartbeat,False,,mixtral-8x22b-instruct,semiconductor manufacturing
boiling point of silicon,germanium,False,,mixtral-8x22b-instruct,semiconductor manufacturing
oxygen,silicon,False,,mixtral-8x22b-instruct,semiconductor manufacturing
boiling point of water,heartbeat,False,,mixtral-8x22b-instruct,semiconductor manufacturing
phosphorus,moderate concentration,False,,mixtral-8x22b-instruct,semiconductor manufacturing
high concentration,room temperature,False,,mixtral-8x22b-instruct,semiconductor manufacturing
pressure in outer space,boiling point of water,False,,mixtral-8x22b-instruct,semiconductor manufacturing
maximum spin,moderate concentration,False,,mixtral-8x22b-instruct,semiconductor manufacturing
minute,CD,False,,mixtral-8x22b-instruct,semiconductor manufacturing
MariaDB,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science
Buddy,Jenkins,True,CI/CD Tool,mixtral-8x22b-instruct,computer science
Linux,Fedora,True,Operating System,mixtral-8x22b-instruct,computer science
Redis,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science
Rancher,CoreOS,True,Containerization Platform,mixtral-8x22b-instruct,computer science
Laravel,Ruby on Rails,True,Web Framework,mixtral-8x22b-instruct,computer science
Django,React,True,Web Framework,mixtral-8x22b-instruct,computer science
ASP.NET,Flask,True,Web Framework,mixtral-8x22b-instruct,computer science
Oracle VM VirtualBox,Red Hat Virtualization,True,Virtualization Platform,mixtral-8x22b-instruct,computer science
Rackspace,Alibaba Cloud,True,Cloud Service Provider,mixtral-8x22b-instruct,computer science
Kubernetes,Cassandra,False,,mixtral-8x22b-instruct,computer science
Microsoft Hyper-V,CoreOS,False,,mixtral-8x22b-instruct,computer science
Fossil,Jenkins,False,,mixtral-8x22b-instruct,computer science
Express.js,Fedora,False,,mixtral-8x22b-instruct,computer science
Sublime Text,Cassandra,False,,mixtral-8x22b-instruct,computer science
CircleCI,Ruby on Rails,False,,mixtral-8x22b-instruct,computer science
Eclipse,React,False,,mixtral-8x22b-instruct,computer science
Visual Studio Code,Flask,False,,mixtral-8x22b-instruct,computer science
Citrix Hypervisor,Alibaba Cloud,False,,mixtral-8x22b-instruct,computer science
Rancher,GitLab CI,False,,mixtral-8x22b-instruct,computer science
Child,Senior citizen,True,Age,mixtral-8x22b-instruct,sociology
Lower-middle class,Below poverty line,True,Income level,mixtral-8x22b-instruct,sociology
Blue-collar worker,White-collar worker,True,Occupation,mixtral-8x22b-instruct,sociology
Libertarian,Anarchist,True,Political ideology,mixtral-8x22b-instruct,sociology
Rural area,Suburban area,True,Geographic location,mixtral-8x22b-instruct,sociology
Entrepreneur,Professional,True,Occupation,mixtral-8x22b-instruct,sociology
Nuclear family,Single individual,True,Family structure,mixtral-8x22b-instruct,sociology
Child,Middle-aged adult,True,Age,mixtral-8x22b-instruct,sociology
African American,Hispanic,True,Ethnicity,mixtral-8x22b-instruct,sociology
Upper class,Upper-middle class,True,Income level,mixtral-8x22b-instruct,sociology
Genderqueer,Senior citizen,False,,mixtral-8x22b-instruct,sociology
Primary school graduate,Below poverty line,False,,mixtral-8x22b-instruct,sociology
Libertarian,White-collar worker,False,,mixtral-8x22b-instruct,sociology
Extended family,Anarchist,False,,mixtral-8x22b-instruct,sociology
Master's degree holder,Suburban area,False,,mixtral-8x22b-instruct,sociology
Rural area,Professional,False,,mixtral-8x22b-instruct,sociology
Female,Single individual,False,,mixtral-8x22b-instruct,sociology
Single-parent household,Middle-aged adult,False,,mixtral-8x22b-instruct,sociology
Master's degree holder,Hispanic,False,,mixtral-8x22b-instruct,sociology
Master's degree holder,Below poverty line,False,,mixtral-8x22b-instruct,sociology
drive,initiative,True,Motivation,mixtral-8x22b-instruct,psychology
dutifulness,achievement-striving,True,Conscientiousness,mixtral-8x22b-instruct,psychology
self-worth,self-confidence,True,Self-Esteem,mixtral-8x22b-instruct,psychology
initiative,goal-directed behavior,True,Motivation,mixtral-8x22b-instruct,psychology
vulnerability,anger,True,Neuroticism,mixtral-8x22b-instruct,psychology
enthusiasm,excitement-seeking,True,Extraversion,mixtral-8x22b-instruct,psychology
intellectual curiosity,aesthetic sensitivity,True,Openness to Experience,mixtral-8x22b-instruct,psychology
activity level,gregariousness,True,Extraversion,mixtral-8x22b-instruct,psychology
persistence,drive,True,Motivation,mixtral-8x22b-instruct,psychology
orderliness,competence,True,Conscientiousness,mixtral-8x22b-instruct,psychology
stress tolerance,initiative,False,,mixtral-8x22b-instruct,psychology
perspective-taking,achievement-striving,False,,mixtral-8x22b-instruct,psychology
competence,self-confidence,False,,mixtral-8x22b-instruct,psychology
future-mindedness,goal-directed behavior,False,,mixtral-8x22b-instruct,psychology
aesthetic sensitivity,emotional regulation,False,,mixtral-8x22b-instruct,psychology
flexibility,anger,False,,mixtral-8x22b-instruct,psychology
future-mindedness,excitement-seeking,False,,mixtral-8x22b-instruct,psychology
creativity,gregariousness,False,,mixtral-8x22b-instruct,psychology
activity level,drive,False,,mixtral-8x22b-instruct,psychology
self-worth,competence,False,,mixtral-8x22b-instruct,psychology
bear market,bull market,True,Stock Market Performance,mixtral-8x22b-instruct,finance
stable rates,negative rates,True,Interest Rates,mixtral-8x22b-instruct,finance
market rally,bull market,True,Stock Market Performance,mixtral-8x22b-instruct,finance
quantitative easing,restrictive policy,True,Monetary Policy,mixtral-8x22b-instruct,finance
accommodative policy,neutral policy,True,Monetary Policy,mixtral-8x22b-instruct,finance
appreciation,stable exchange rate,True,Currency Exchange Rates,mixtral-8x22b-instruct,finance
severe unemployment,low unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance
low confidence,rising confidence,True,Consumer Confidence,mixtral-8x22b-instruct,finance
deflation,creeping inflation,True,Inflation,mixtral-8x22b-instruct,finance
full employment,severe unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance
appreciation,bull market,False,,mixtral-8x22b-instruct,finance
restrictive policy,negative rates,False,,mixtral-8x22b-instruct,finance
market rally,severe unemployment,False,,mixtral-8x22b-instruct,finance
balanced budget,bull market,False,,mixtral-8x22b-instruct,finance
stable exchange rate,restrictive policy,False,,mixtral-8x22b-instruct,finance
declining confidence,neutral policy,False,,mixtral-8x22b-instruct,finance
bankruptcy,recession,False,,mixtral-8x22b-instruct,finance
fiscal deficit,tightening,False,,mixtral-8x22b-instruct,finance
market crash,rising rates,False,,mixtral-8x22b-instruct,finance
hyperinflation,low unemployment,False,,mixtral-8x22b-instruct,finance
Tech startups hub,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies
Community parks,Botanical gardens,True,Green space availability,gpt-3.5-turbo,urban studies
Mobile medical units,State-of-the-art hospitals,True,Healthcare access,gpt-3.5-turbo,urban studies
Financial services center,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies
High burglary areas,Low crime neighborhoods,True,Crime rate,gpt-3.5-turbo,urban studies
International cuisine restaurants,Multicultural festivals,True,Cultural diversity,gpt-3.5-turbo,urban studies
Suburban neighborhoods with single-family homes,Sparse residential areas,True,Population density,gpt-3.5-turbo,urban studies
Mixed-use developments,Revitalization of waterfront areas,True,Urban renewal projects,gpt-3.5-turbo,urban studies
Multicultural festivals,Ethnic enclaves,True,Cultural diversity,gpt-3.5-turbo,urban studies
Community health clinics,State-of-the-art hospitals,True,Healthcare access,gpt-3.5-turbo,urban studies
Luxury condominiums,Manufacturing district,False,,gpt-3.5-turbo,urban studies
Mixed-use developments,Botanical gardens,False,,gpt-3.5-turbo,urban studies
Community health clinics,Historic preservation initiatives,False,,gpt-3.5-turbo,urban studies
Historic preservation initiatives,State-of-the-art hospitals,False,,gpt-3.5-turbo,urban studies
Violent crime hotspots,Manufacturing district,False,,gpt-3.5-turbo,urban studies
Tech startups hub,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies
Urban core with high-rise buildings,International cuisine restaurants,False,,gpt-3.5-turbo,urban studies
Revitalization of waterfront areas,Multicultural festivals,False,,gpt-3.5-turbo,urban studies
Financial services center,Sparse residential areas,False,,gpt-3.5-turbo,urban studies
Revitalization of waterfront areas,High burglary areas,False,,gpt-3.5-turbo,urban studies
Vacuum fluctuations,Quantum chromodynamics,True,Quantum field theory,gpt-3.5-turbo,physics
Kinetic energy,Potential energy,True,Energy of motion,gpt-3.5-turbo,physics
Electric field,Magnetic field,True,Electromagnetic interactions,gpt-3.5-turbo,physics
Mechanical energy,Thermal energy,True,Energy of motion,gpt-3.5-turbo,physics
Muon,Lepton,True,Fundamental particles,gpt-3.5-turbo,physics
Heat transfer,Adiabatic expansion,True,Thermodynamic processes,gpt-3.5-turbo,physics
Resonance,Interference,True,Wave phenomena,gpt-3.5-turbo,physics
Electromagnetic radiation,Electric field,True,Electromagnetic interactions,gpt-3.5-turbo,physics
Work done,Entropy change,True,Thermodynamic processes,gpt-3.5-turbo,physics
Quantum electrodynamics,Feynman diagrams,True,Quantum field theory,gpt-3.5-turbo,physics
Entanglement,Potential energy,False,,gpt-3.5-turbo,physics
Dispersion,Magnetic field,False,,gpt-3.5-turbo,physics
Renormalization,Lepton,False,,gpt-3.5-turbo,physics
Wave-particle duality,Adiabatic expansion,False,,gpt-3.5-turbo,physics
Gluon,Quantum electrodynamics,False,,gpt-3.5-turbo,physics
Decoherence,Interference,False,,gpt-3.5-turbo,physics
Photon,Electric field,False,,gpt-3.5-turbo,physics
Kinetic energy,Entropy change,False,,gpt-3.5-turbo,physics
Potential energy,Length contraction,False,,gpt-3.5-turbo,physics
Electric field,Fusion,False,,gpt-3.5-turbo,physics
Adequately Hydrated,Thirsty,True,Hydration Status,gpt-3.5-turbo,health
Teetotaler,Social Drinker,True,Alcohol Consumption,gpt-3.5-turbo,health
Dehydrated,Over-hydrated,True,Hydration Status,gpt-3.5-turbo,health
Heavy Drinker,Teetotaler,True,Alcohol Consumption,gpt-3.5-turbo,health
Regular Gym Goer,Yoga Practitioner,True,Physical Activity Level,gpt-3.5-turbo,health
Vegan,Mediterranean,True,Dietary Preference,gpt-3.5-turbo,health
Friendship Circle,Family-Centric,True,Social Support,gpt-3.5-turbo,health
Tanned,Sunscreen User,True,Sun Exposure,gpt-3.5-turbo,health
Paleo,Fast Food Lover,True,Dietary Preference,gpt-3.5-turbo,health
Insomniac,Napper,True,Sleep Quality,gpt-3.5-turbo,health
Screen Addict,Thirsty,False,,gpt-3.5-turbo,health
Chain Smoker,Social Drinker,False,,gpt-3.5-turbo,health
Tanned,Adequately Hydrated,False,,gpt-3.5-turbo,health
Exercise,Over-hydrated,False,,gpt-3.5-turbo,health
Insomniac,Teetotaler,False,,gpt-3.5-turbo,health
Limited User,Yoga Practitioner,False,,gpt-3.5-turbo,health
Meditation,Mediterranean,False,,gpt-3.5-turbo,health
