Value,Variable definition,domain
Metabolic syndrome,"['Obesity', 'Insulin resistance']",health
Community Policing,"['Cultural Heritage', 'Tourism']",urban studies
Graduation,"['Education Level', 'Career Opportunities']",sociology
Green Spaces,"['Health and Well-being', 'Property Values']",urban studies
System Update Failure,"['CPU Usage', 'Memory Allocation']",computer science
Public Art Installations,"['Urban Density', 'Transportation Infrastructure']",urban studies
Gravitational Lensing,"['Superposition', 'Spooky Action at a Distance']",physics
Cognitive distortions and negative thinking,"['Empathy level', 'Active listening ability']",psychology
Cybersecurity Breach,"['Company Name', 'Industry Sector']",finance
Wave-particle duality,"['Particle correlation', 'Measurement outcome']",physics
Credit Rating Downgrade,"['Company Credit Rating', 'Bond Yield']",finance
Smart city technology implementation,"['Urban planning', 'Economic development']",urban studies
Electromigration,"['Thermal expansion coefficient', 'Package design']",semiconductor manufacturing
Regular medical check-ups and medication adherence,"['Healthcare utilization', 'Medication adherence']",health
Widespread use of smart city technologies,"['Air quality', 'Social equity']",urban studies
peer group discussions,"['Coping Mechanisms', 'Emotional Support']",psychology
Gender Role Conflict and Family Dysfunction,"['Gender Roles', 'Family Structure']",sociology
Death of a Family Member,"['Family Size', 'Parenting Style']",sociology
Disk usage,"['Major release', 'Minor release']",computer science
Social support and resilience,"['Social support level', 'Resilience level']",psychology
Conservation of Momentum,"['Linear Momentum', 'Angular Momentum']",physics
Infectious Disease Outbreak,"['Infection Status', 'Disease Transmission']",health
Family Reunions,"['Family Structure', 'Social Bonding']",sociology
Medication Non-Adherence,"['Mental Health Status', 'Coping Mechanisms']",health
Negative self-talk and low self-esteem,"['Stress level', 'Anxiety level']",psychology
Education and Social Mobility,"['Educational Attainment', 'Social Status']",sociology
Social Media Addiction,"['Cognitive Biases', 'Emotional States']",psychology
Educational Attainment,"['Dietary Habits', 'Mental Well-being']",sociology
Company Acquisition,"['Economic Indicator', 'Unemployment Rate']",finance
Efficient Code Execution,"['Interface Design', 'Accessibility Features']",computer science
Resilience,"['Stress', 'Mental Health']",psychology
Electromagnetic Pulse,"['Type of Radiation', 'Form of Electromagnetic Radiation']",physics
Chemical vapor deposition with silane gas,"['Planarization process', 'Planarization slurry']",semiconductor manufacturing
semiconductor doping,"['High-energy astrophysical phenomena', 'Stellar evolution']",physics
Deep ultraviolet stepper,"['Lithography equipment', 'Light wavelength']",semiconductor manufacturing
civic participation,"['Educational Methods', 'Technology Utilization', 'Access to Education']",sociology
Urban gentrification,"['Inner-city area', 'Segregation level']",sociology
Quantum entanglement,"['Temperature', 'Energy conversion']",physics
Stress and Coping Resources,"['Stress', 'Coping Resources']",psychology
Database Corruption,"['Network Traffic', 'Packet Loss']",computer science
Artificial Intelligence Decision Support,"['Decision Support Method', 'Decision Support Type']",computer science
solar wind interaction with Earth's magnetosphere,"['Material conductivity', 'Material composition']",physics
prenatal yoga classes,"['Preventive healthcare', 'Target demographic']",health
Urban inequality,"['Level of rurality', 'Education level']",sociology
Empathy and active listening,"['Empathy level', 'Active listening ability']",psychology
User-friendly Interface,"['Interface Design', 'Accessibility Features']",computer science
Health Behavior,"['Identity Formation', 'Social Cohesion']",sociology
Physical inactivity and osteoporosis,"['Physical activity level', 'Risk of osteoporosis']",health
Gate Oxide Formation,"['Barrier Layer Material', 'Diffusion Barrier Application']",semiconductor manufacturing
Launch of government-backed investment bonds,"['Economic Activity', 'Market Health']",finance
Traumatic Experience,"['Social Influence', 'Risk Taking', 'Identity Formation']",psychology
Thermal oxidation with wet oxygen,"['Oxidation process', 'Oxidation environment']",semiconductor manufacturing
workplace diversity,"['Corporate Culture', 'Social Equality', 'Economic Performance']",sociology
High-yield corporate bonds,"['Bond type', 'Bond risk']",finance
Mindfulness and emotional regulation,"['Self-compassion level', 'Self-forgiveness level']",psychology
Mergers and Acquisitions,"['Corporate Strategy', 'Financial Performance', 'Market Trends']",finance
Medication Use and Liver Disease,"['Medication Use', 'Liver Health']",health
Cloud-based data storage,"['Data Storage Type', 'Data Accessibility']",computer science
Etching Process Optimization,"['Etching Gas', 'Etching Temperature']",semiconductor manufacturing
Emotional Intelligence,"['Social Support', 'Coping Mechanism', 'Mental Health']",psychology
intergenerational living,"['Political Engagement', 'Social Movements', 'Communication Technology']",sociology
Government Policy,"['Tax Revenues', 'Regulatory Environment']",finance
Doping concentration fluctuation,"['Doping material', 'Doping method']",semiconductor manufacturing
Public transportation expansion,"['Infrastructure development', 'Environmental sustainability']",urban studies
Currency Devaluation,"['Currency Exchange Rate', 'Economic Policy']",finance
Gender wage gap,"['Economic status', 'Age group']",sociology
Wafer edge exclusion,"['Wafer yield optimization', 'Die placement strategy']",semiconductor manufacturing
Man-in-the-middle attack on encrypted communication,"['Encrypted Communication', 'Network Security']",computer science
urban gentrification,"['Political Processes', 'Community Development', 'Social Cohesion']",sociology
Health Behavior,"['Social Status', 'Consumer Behavior']",sociology
Digital divide,"['Income group', 'Technology access']",sociology
Mixed-Use Developments,"['Land Use Planning', 'Transportation Infrastructure']",urban studies
Adaptive Reuse,"['Urban Climate', 'Land Cover']",urban studies
High-temperature annealing,"['Lithography technique', 'Light source type']",semiconductor manufacturing
Natural Disaster,"['Company Name', 'Industry Sector']",finance
Mechanical stress during handling,"['Temperature control during semiconductor manufacturing', 'Temperature sensitivity of semiconductor materials']",semiconductor manufacturing
Laser Annealing,"['Photoresist Removal Method', 'Wafer Cleaning Method']",semiconductor manufacturing
Debt-to-Equity Swap and Corporate Restructuring,"['Financial Markets', 'Mortgage Market']",finance
SQL injection attack in web application,"['Network Protocols', 'Memory Management']",computer science
Poor Diet and Sedentary Lifestyle,"['Mental Health', 'Substance Abuse']",health
GPU performance,"['Clock speed', 'Memory size']",computer science
mental health support group,"['Healthcare intervention', 'Psychological condition management']",health
System Resource Overload,"['CPU Usage', 'Memory Allocation']",computer science
Optical Fiber,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",physics
Gravitational Wave,"['Type of Communication Medium', 'Method of Data Transmission']",physics
electron-proton collision,"['Astrophysical object', 'Mass concentration']",physics
Peer Pressure,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",psychology
Nutrient Deficiency,"['Infection Status', 'Disease Transmission']",health
Cherenkov radiation,"['Electrical property', 'Temperature']",physics
Empathy and active listening,"['Reinforcement type', 'Motivation level']",psychology
superconductivity,"['Solar activity', 'Geomagnetic effects']",physics
Energy and work,"['Energy', 'Work']",physics
Public Space Design,"['Infrastructure', 'Data Management']",urban studies
Sustainable Agriculture and Urban Gardens,"['Housing Market', 'Community Amenities']",urban studies
Disaster-Prone Areas,"['Environmental Risks', 'Emergency Response']",urban studies
Real-time Data Processing,"['Code Performance', 'Resource Utilization']",computer science
smoking cessation counseling,"['Diagnostic procedure', 'Health condition monitored']",health
Attachment Styles and Emotional Regulation,"['Attachment Styles', 'Emotional Regulation']",psychology
Wafer Defect Detection,"['Wafer Defect Type', 'Defect Detection Method']",semiconductor manufacturing
Retirement,"['Family Size', 'Parenting Style']",sociology
Credit Rating Downgrade,"['Financial Regulation', 'Industry Sector']",finance
Hypertension Diagnosis,"['Symptoms', 'Cognitive Function']",health
Sedentary lifestyle and high-salt diet,"['Social engagement', 'Mental health status']",health
Nutrient Deficiency,"['Environmental Exposure', 'Toxicant Levels']",health
Medication Use and Liver Disease,"['Age', 'Stress Levels']",health
Cybersecurity threat detection,"['Security domain', 'Threat detection method']",computer science
Laser Annealing,"['Dopant Activation Method', 'Thermal Budget Control']",semiconductor manufacturing
Automated system backups,"['Backup Type', 'Automation Level']",computer science
Conservation of Momentum,"['Frequency of Light', 'Electron Ejection']",physics
Bone mineral density,"['Cortisol levels', 'Mental health']",health
Community Volunteering,"['Civic Engagement', 'Social Capital']",sociology
Suburban Sprawl,"['Urbanization Pattern', 'Land Use']",urban studies
Rapid thermal oxidation,"['Lithography technique', 'Light source type']",semiconductor manufacturing
Bone mineral density,"['Bone health', 'Calcium absorption']",health
Power supply instability during operation,"['Cleanliness of semiconductor packaging process', 'Semiconductor device design']",semiconductor manufacturing
prenatal yoga classes,"['Healthcare intervention', 'Psychological condition management']",health
Mental Health Disorders and Substance Abuse,"['Genetic Factors', 'Environmental Exposure']",health
Code quality,"['Round-trip time', 'Packet loss']",computer science
Rural migration,"['Inner-city area', 'Crime level']",sociology
Healthy body weight and balanced nutrition,"['Body weight', 'Nutritional status']",health
Social Support,"['Stress', 'Mental Health']",psychology
Mask alignment accuracy,"['Etch selectivity', 'Uniformity of plasma processing']",semiconductor manufacturing
Data visualization techniques,"['Data representation', 'Visualization method']",computer science
Wafer Edge Bead Removal,"['Wafer Edge Treatment', 'Defect Reduction Method']",semiconductor manufacturing
Widespread use of smart city technologies,"['Urban heat island effect', 'Biodiversity']",urban studies
Photoresist Strip and Clean,"['Photoresist Removal Method', 'Wafer Cleaning Method']",semiconductor manufacturing
Active social life and mental well-being,"['Body weight', 'Nutritional status']",health
Buffer overflow in network protocol implementation,"['Network Protocols', 'Memory Management']",computer science
Pedestrian-Friendly Infrastructure,"['Environmental Risks', 'Emergency Response']",urban studies
Death of a Family Member,"['Family Structure', 'Emotional Well-being']",sociology
Silicon wafer backgrinding,"['Deposition method', 'Ambient pressure condition']",semiconductor manufacturing
Global Trade Tensions,"['Tax Revenues', 'Regulatory Environment']",finance
SQL injection attack in web application,"['Operating Systems', 'Security']",computer science
Mental Health Crisis,"['Symptoms', 'Cognitive Function']",health
Green Infrastructure,"['Housing Policy', 'Disaster Response']",urban studies
Social Media Addiction,"['Emotional Expression', 'Problem-Focused Coping']",psychology
