Text1,Text2,Same Causal Variable,Variable Name,model Name,domain
Radioactive Decay,Beta Particles,False,,llama3-70b,physics
Marathon Runner,Casual Walker,True,Physical Activity Level,llama3-70b,health
Light Drinker,Teetotaler,True,Alcohol Consumption,llama3-70b,health
Marathon Runner,Couch Potato,True,Physical Activity Level,llama3-70b,health
Underweight,Overweight,True,Body Mass Index,llama3-70b,health
Underweight,Obesity,True,Body Mass Index,llama3-70b,health
Restless Leg Syndrome,Good Sleep,True,Sleep Quality,llama3-70b,health
Vegan,Omnivore,True,Dietary Habits,llama3-70b,health
Vegetarian,Vegan,True,Dietary Habits,llama3-70b,health
Vegan,Junk Food Addict,True,Dietary Habits,llama3-70b,health
Depression,Mental Wellness,True,Mental Health Status,llama3-70b,health
Hypotension,Teetotaler,False,,llama3-70b,health
Underweight,Couch Potato,False,,llama3-70b,health
Heavy Lifting,Overweight,False,,llama3-70b,health
Cancer,Obesity,False,,llama3-70b,health
Sedentary Job,Good Sleep,False,,llama3-70b,health
Good Sleep,Social Smoker,False,,llama3-70b,health
Light Drinker,Omnivore,False,,llama3-70b,health
Marathon Runner,Vegan,False,,llama3-70b,health
Hypotension,Cancer,False,,llama3-70b,health
Overweight,Junk Food Addict,False,,llama3-70b,health
14nm FinFET,7nm FinFET,True,Fabrication Node,llama3-70b,semiconductor manufacturing
SC1 Cleaning,HF Last Cleaning,True,Wafer Cleaning Method,llama3-70b,semiconductor manufacturing
7nm FinFET,10nm FinFET,True,Fabrication Node,llama3-70b,semiconductor manufacturing
Land Grid Array Package,Ball Grid Array Package,True,Packaging Type,llama3-70b,semiconductor manufacturing
Ball Grid Array Package,Chip Scale Package,True,Packaging Type,llama3-70b,semiconductor manufacturing
Antimony Dopant,Arsenic Dopant,True,Doping Material,llama3-70b,semiconductor manufacturing
Functional Testing,Built-In Self-Test,True,Testing Method,llama3-70b,semiconductor manufacturing
Piranha Cleaning,SC1 Cleaning,True,Wafer Cleaning Method,llama3-70b,semiconductor manufacturing
Inductively Coupled Plasma Etching,Wet Etching,True,Etching Method,llama3-70b,semiconductor manufacturing
Land Grid Array Package,Chip Scale Package,True,Packaging Type,llama3-70b,semiconductor manufacturing
Wet Etching,7nm FinFET,False,,llama3-70b,semiconductor manufacturing
Gallium Arsenide Wafer,HF Last Cleaning,False,,llama3-70b,semiconductor manufacturing
Copper Interconnect,Silicon Wafer,False,,llama3-70b,semiconductor manufacturing
7nm FinFET,Ball Grid Array Package,False,,llama3-70b,semiconductor manufacturing
Germanium Wafer,Chip Scale Package,False,,llama3-70b,semiconductor manufacturing
Hafnium Oxide,SC1 Cleaning,False,,llama3-70b,semiconductor manufacturing
40nm LP,Land Grid Array Package,False,,llama3-70b,semiconductor manufacturing
Wet Etching,Boron Dopant,False,,llama3-70b,semiconductor manufacturing
Silicon Carbide Wafer,Arsenic Dopant,False,,llama3-70b,semiconductor manufacturing
Parametric Testing,Phosphorus Dopant,False,,llama3-70b,semiconductor manufacturing
Graph Vertex,Stack Frame,True,Data Structure,llama3-70b,computer science
Python Syntax,PHP Parser,True,Programming Language,llama3-70b,computer science
Kanban Board,Agile Development,True,Software Development Methodology,llama3-70b,computer science
Rapid Application Development,Test-Driven Development,True,Software Development Methodology,llama3-70b,computer science
Command-Line Interface,Haptic Feedback System,True,Human-Computer Interaction,llama3-70b,computer science
Queue Buffer,Hash Table Bucket,True,Data Structure,llama3-70b,computer science
Principal Component Analysis,Neural Network,True,Machine Learning Model,llama3-70b,computer science
Feature-Driven Development,Test-Driven Development,True,Software Development Methodology,llama3-70b,computer science
Support Vector Machine,Principal Component Analysis,True,Machine Learning Model,llama3-70b,computer science
Graph Database,NoSQL Document,True,Database System,llama3-70b,computer science
Lean Software Development,Stack Frame,False,,llama3-70b,computer science
Linked List Node,PHP Parser,False,,llama3-70b,computer science
Graph Vertex,Agile Development,False,,llama3-70b,computer science
SSL Certificate,Test-Driven Development,False,,llama3-70b,computer science
Image Generation,Haptic Feedback System,False,,llama3-70b,computer science
SMTP Server,Hash Table Bucket,False,,llama3-70b,computer science
Command-Line Interface,Neural Network,False,,llama3-70b,computer science
Diffie-Hellman Key Exchange,Test-Driven Development,False,,llama3-70b,computer science
Asymmetric Cryptography,Principal Component Analysis,False,,llama3-70b,computer science
Scrum Framework,NoSQL Document,False,,llama3-70b,computer science
Some College,Doctoral Degree,True,Education Level,llama3-70b,sociology
East Asian,Latinx,True,Cultural Identity,llama3-70b,sociology
Gaming,Traveling,True,Leisure Activity,llama3-70b,sociology
Attending Concerts,Yoga,True,Leisure Activity,llama3-70b,sociology
Bachelor's Degree,Vocational Training,True,Education Level,llama3-70b,sociology
Skateboarding,Motorcycle,True,Transportation Mode,llama3-70b,sociology
Nursing Home,Shared Housing,True,Living Arrangement,llama3-70b,sociology
White American,Middle Eastern,True,Cultural Identity,llama3-70b,sociology
Mountain Retreat,Retirement Community,True,Neighborhood Type,llama3-70b,sociology
Latinx,African American,True,Cultural Identity,llama3-70b,sociology
Working Poor,Doctoral Degree,False,,llama3-70b,sociology
East Asian,Traveling,False,,llama3-70b,sociology
Spiritual but not Religious,Yoga,False,,llama3-70b,sociology
Retirement Community,Vocational Training,False,,llama3-70b,sociology
Artist,Motorcycle,False,,llama3-70b,sociology
Middle Class,Shared Housing,False,,llama3-70b,sociology
Master's Degree,Middle Eastern,False,,llama3-70b,sociology
Shared Housing,Retirement Community,False,,llama3-70b,sociology
Blended Family,African American,False,,llama3-70b,sociology
Mountain Retreat,Nuclear Family,False,,llama3-70b,sociology
Avoider,Rationalizer,True,Coping Mechanism,llama3-70b,psychology
Trauma Survivor,Optimistic Fighter,True,Resilience,llama3-70b,psychology
Spontaneous Adventurer,Anxious Procrastinator,True,Impulsivity,llama3-70b,psychology
Impulsive Risk-Taker,Cautious Planner,True,Impulsivity,llama3-70b,psychology
Trauma Survivor,Emotionally Vulnerable,True,Resilience,llama3-70b,psychology
Avoidant Distancer,Empathetic Listener,True,Emotional Regulation,llama3-70b,psychology
Optimistic Fighter,Emotionally Vulnerable,True,Resilience,llama3-70b,psychology
Innovative Thinker,Analytical Problem-Solver,True,Creativity,llama3-70b,psychology
Achievement-Oriented,Fear-Driven,True,Motivation Style,llama3-70b,psychology
Auditory Processor,Visual Learner,True,Learning Style,llama3-70b,psychology
Insecure Person,Rationalizer,False,,llama3-70b,psychology
Shy Observer,Optimistic Fighter,False,,llama3-70b,psychology
Spontaneous Free Spirit,Anxious Procrastinator,False,,llama3-70b,psychology
Introverted Thinker,Cautious Planner,False,,llama3-70b,psychology
Confronter,Emotionally Vulnerable,False,,llama3-70b,psychology
Overachiever,Empathetic Listener,False,,llama3-70b,psychology
Spontaneous Free Spirit,Outgoing Socialite,False,,llama3-70b,psychology
Reflective Thinker,Emotionally Vulnerable,False,,llama3-70b,psychology
Empathetic Listener,Analytical Problem-Solver,False,,llama3-70b,psychology
Emotional Responder,Imaginative Dreamer,False,,llama3-70b,psychology
luxury condos,loft conversions,True,Housing types,mixtral-8x22b-instruct,urban studies
creative districts,historic landmarks,True,Cultural amenities,mixtral-8x22b-instruct,urban studies
riverfront promenades,greenbelts,True,Green spaces,mixtral-8x22b-instruct,urban studies
smart city initiatives,transit-oriented development,True,Governance and planning,mixtral-8x22b-instruct,urban studies
light rail network,intercity train station,True,Transportation infrastructure,mixtral-8x22b-instruct,urban studies
professional class neighborhoods,student populations,True,Social diversity,mixtral-8x22b-instruct,urban studies
manufacturing center,tourism destination,True,Economic base,mixtral-8x22b-instruct,urban studies
creative districts,world-class museums,True,Cultural amenities,mixtral-8x22b-instruct,urban studies
sparse suburban,rural countryside,True,Population density,mixtral-8x22b-instruct,urban studies
green roofs,greenbelts,True,Green spaces,mixtral-8x22b-instruct,urban studies
urban heat island mitigation,loft conversions,False,,mixtral-8x22b-instruct,urban studies
carbon-neutral developments,historic landmarks,False,,mixtral-8x22b-instruct,urban studies
climate adaptation strategies,greenbelts,False,,mixtral-8x22b-instruct,urban studies
dense urban,transit-oriented development,False,,mixtral-8x22b-instruct,urban studies
immigrant communities,intercity train station,False,,mixtral-8x22b-instruct,urban studies
walkability,student populations,False,,mixtral-8x22b-instruct,urban studies
quality education,tourism destination,False,,mixtral-8x22b-instruct,urban studies
limited bus network,world-class museums,False,,mixtral-8x22b-instruct,urban studies
walkability,inclusive zoning policies,False,,mixtral-8x22b-instruct,urban studies
transit-oriented development,sustainable transportation options,False,,mixtral-8x22b-instruct,urban studies
pressure at sea level,pressure at the center of the sun,True,pressure,mixtral-8x22b-instruct,physics
energy in a AA battery,energy in a hurricane,True,energy,mixtral-8x22b-instruct,physics
force of a tornado,force of a supernova,True,force,mixtral-8x22b-instruct,physics
elephant weight,blue whale weight,True,mass of an object,mixtral-8x22b-instruct,physics
density of water,density of air,True,density,mixtral-8x22b-instruct,physics
pressure at sea level,pressure at the center of the Earth,True,pressure,mixtral-8x22b-instruct,physics
lifespan of a mayfly,length of a movie,True,time,mixtral-8x22b-instruct,physics
age of the universe,length of a movie,True,time,mixtral-8x22b-instruct,physics
light speed,sound barrier,True,speed of an object,mixtral-8x22b-instruct,physics
energy in a AA battery,energy in a lightning bolt,True,energy,mixtral-8x22b-instruct,physics
density of gold,pressure at the center of the sun,False,,mixtral-8x22b-instruct,physics
room temperature,pressure at sea level,False,,mixtral-8x22b-instruct,physics
density of gold,blue whale weight,False,,mixtral-8x22b-instruct,physics
bullet train speed,density of air,False,,mixtral-8x22b-instruct,physics
energy in a lightning bolt,pressure at the center of the sun,False,,mixtral-8x22b-instruct,physics
density of air,pressure at the center of the Earth,False,,mixtral-8x22b-instruct,physics
density of a neutron star,length of a movie,False,,mixtral-8x22b-instruct,physics
energy in a AA battery,length of a movie,False,,mixtral-8x22b-instruct,physics
density of gold,sound barrier,False,,mixtral-8x22b-instruct,physics
pressure at sea level,energy in a lightning bolt,False,,mixtral-8x22b-instruct,physics
Good Sleep,Fair Sleep,True,Sleep Quality,mixtral-8x22b-instruct,health
Diabetes Type 1,Normal,True,Blood Glucose Level,mixtral-8x22b-instruct,health
Hyperthermia,High Fever,True,Body Temperature,mixtral-8x22b-instruct,health
Diabetes Type 1,Hypoglycemia,True,Blood Glucose Level,mixtral-8x22b-instruct,health
Severe Hypoxemia,Mild Hypoxemia,True,Oxygen Saturation,mixtral-8x22b-instruct,health
Normal,Severe Hypoxemia,True,Oxygen Saturation,mixtral-8x22b-instruct,health
Prediabetes,Normal,True,Blood Glucose Level,mixtral-8x22b-instruct,health
Atrial Fibrillation,Normal,True,Heart Rate,mixtral-8x22b-instruct,health
Hypotension,Normal,True,Blood Pressure,mixtral-8x22b-instruct,health
Normal,Bradycardia,True,Heart Rate,mixtral-8x22b-instruct,health
Mild Pain,Fair Sleep,False,,mixtral-8x22b-instruct,health
Stage 2 Hypertension,Normal,False,,mixtral-8x22b-instruct,health
Moderate Hypoxemia,Underweight,False,,mixtral-8x22b-instruct,health
Overweight,Hyperthermia,False,,mixtral-8x22b-instruct,health
Obesity Class 1,Mild Hypoxemia,False,,mixtral-8x22b-instruct,health
Obesity Class 1,Severe Hypoxemia,False,,mixtral-8x22b-instruct,health
Obesity Class 3,Normal,False,,mixtral-8x22b-instruct,health
Fair Sleep,Normal,False,,mixtral-8x22b-instruct,health
Normal,Fair Sleep,False,,mixtral-8x22b-instruct,health
Moderate Hypoxemia,Normal,False,,mixtral-8x22b-instruct,health
300mm,200mm,True,Wafer size,mixtral-8x22b-instruct,semiconductor manufacturing
physical vapor deposition,atomic layer deposition,True,Deposition technique,mixtral-8x22b-instruct,semiconductor manufacturing
300mm,450mm,True,Wafer size,mixtral-8x22b-instruct,semiconductor manufacturing
thin,thick,True,Epitaxial layer thickness,mixtral-8x22b-instruct,semiconductor manufacturing
low energy,high energy,True,Ion implantation energy,mixtral-8x22b-instruct,semiconductor manufacturing
wet etching,dry etching,True,Etching method,mixtral-8x22b-instruct,semiconductor manufacturing
medium resolution,high resolution,True,Lithography resolution,mixtral-8x22b-instruct,semiconductor manufacturing
high energy,medium energy,True,Ion implantation energy,mixtral-8x22b-instruct,semiconductor manufacturing
medium energy,low energy,True,Ion implantation energy,mixtral-8x22b-instruct,semiconductor manufacturing
plasma etching,dry etching,True,Etching method,mixtral-8x22b-instruct,semiconductor manufacturing
indium phosphide,200mm,False,,mixtral-8x22b-instruct,semiconductor manufacturing
300mm,thick,False,,mixtral-8x22b-instruct,semiconductor manufacturing
wet etching,high temperature,False,,mixtral-8x22b-instruct,semiconductor manufacturing
medium energy,450mm,False,,mixtral-8x22b-instruct,semiconductor manufacturing
low resolution,thick,False,,mixtral-8x22b-instruct,semiconductor manufacturing
wet etching,300mm,False,,mixtral-8x22b-instruct,semiconductor manufacturing
gallium arsenide,high energy,False,,mixtral-8x22b-instruct,semiconductor manufacturing
medium,dry etching,False,,mixtral-8x22b-instruct,semiconductor manufacturing
p-type,high resolution,False,,mixtral-8x22b-instruct,semiconductor manufacturing
high resolution,low energy,False,,mixtral-8x22b-instruct,semiconductor manufacturing
React,Laravel,True,Web Framework,mixtral-8x22b-instruct,computer science
Cassandra,Spark,True,Big Data Processing Framework,mixtral-8x22b-instruct,computer science
SAP Cloud,VMware Cloud,True,Cloud Service Provider,mixtral-8x22b-instruct,computer science
Go,Java,True,Programming Language,mixtral-8x22b-instruct,computer science
Zookeeper,Pig,True,Big Data Processing Framework,mixtral-8x22b-instruct,computer science
Scikit-learn,Keras,True,Machine Learning Library,mixtral-8x22b-instruct,computer science
Darcs,Fossil,True,Version Control System,mixtral-8x22b-instruct,computer science
Ruby on Rails,Spring,True,Web Framework,mixtral-8x22b-instruct,computer science
Windows,Android,True,Operating System,mixtral-8x22b-instruct,computer science
SaltStack,Chef,True,DevOps Tool,mixtral-8x22b-instruct,computer science
Monotone,Laravel,False,,mixtral-8x22b-instruct,computer science
Oracle Cloud,Spark,False,,mixtral-8x22b-instruct,computer science
SAP Cloud,AngularJS,False,,mixtral-8x22b-instruct,computer science
Mercurial,VMware Cloud,False,,mixtral-8x22b-instruct,computer science
Linux,Java,False,,mixtral-8x22b-instruct,computer science
C++,Keras,False,,mixtral-8x22b-instruct,computer science
C++,Fossil,False,,mixtral-8x22b-instruct,computer science
C++,Spring,False,,mixtral-8x22b-instruct,computer science
MariaDB,Android,False,,mixtral-8x22b-instruct,computer science
LXC,Go,False,,mixtral-8x22b-instruct,computer science
Urban,Coastal,True,Geographic location,mixtral-8x22b-instruct,sociology
Christian,Hindu,True,Religion,mixtral-8x22b-instruct,sociology
Green Party,Republican,True,Political affiliation,mixtral-8x22b-instruct,sociology
Caucasian,Native American,True,Ethnicity,mixtral-8x22b-instruct,sociology
Libertarian,Green Party,True,Political affiliation,mixtral-8x22b-instruct,sociology
Engineer,Doctor,True,Occupation,mixtral-8x22b-instruct,sociology
Atheist,Muslim,True,Religion,mixtral-8x22b-instruct,sociology
Separated,Single,True,Marital status,mixtral-8x22b-instruct,sociology
Underclass,Lower class,True,Social class,mixtral-8x22b-instruct,sociology
Doctoral degree holder,High school graduate,True,Level of education,mixtral-8x22b-instruct,sociology
Adolescent,Coastal,False,,mixtral-8x22b-instruct,sociology
Young adult,Hindu,False,,mixtral-8x22b-instruct,sociology
Coastal,Republican,False,,mixtral-8x22b-instruct,sociology
Female,Native American,False,,mixtral-8x22b-instruct,sociology
Working class,Green Party,False,,mixtral-8x22b-instruct,sociology
Asian,Doctor,False,,mixtral-8x22b-instruct,sociology
Primary school graduate,Divorced,False,,mixtral-8x22b-instruct,sociology
Child,Female,False,,mixtral-8x22b-instruct,sociology
Doctor,Muslim,False,,mixtral-8x22b-instruct,sociology
Native American,Hindu,False,,mixtral-8x22b-instruct,sociology
problem-solving,reasoning,True,Cognitive Ability,mixtral-8x22b-instruct,psychology
anxiety,vulnerability,True,Neuroticism,mixtral-8x22b-instruct,psychology
modesty,altruism,True,Agreeableness,mixtral-8x22b-instruct,psychology
memory,problem-solving,True,Cognitive Ability,mixtral-8x22b-instruct,psychology
excitement-seeking,enthusiasm,True,Extraversion,mixtral-8x22b-instruct,psychology
self-regard,self-confidence,True,Self-esteem,mixtral-8x22b-instruct,psychology
activity level,gregariousness,True,Extraversion,mixtral-8x22b-instruct,psychology
dutifulness,productivity,True,Conscientiousness,mixtral-8x22b-instruct,psychology
self-respect,self-assurance,True,Self-esteem,mixtral-8x22b-instruct,psychology
self-discipline,dutifulness,True,Conscientiousness,mixtral-8x22b-instruct,psychology
internal control,reasoning,False,,mixtral-8x22b-instruct,psychology
excitement-seeking,vulnerability,False,,mixtral-8x22b-instruct,psychology
self-assurance,altruism,False,,mixtral-8x22b-instruct,psychology
gregariousness,problem-solving,False,,mixtral-8x22b-instruct,psychology
self-assurance,enthusiasm,False,,mixtral-8x22b-instruct,psychology
extrinsic motivation,reasoning,False,,mixtral-8x22b-instruct,psychology
morality,self-confidence,False,,mixtral-8x22b-instruct,psychology
self-worth,gregariousness,False,,mixtral-8x22b-instruct,psychology
creativity,productivity,False,,mixtral-8x22b-instruct,psychology
reasoning,self-assurance,False,,mixtral-8x22b-instruct,psychology
Museums and art galleries,Music festivals and cultural events,True,Cultural institutions,gpt-3.5-turbo,urban studies
Green infrastructure for climate adaptation,Earthquake-resistant buildings,True,Urban infrastructure resilience,gpt-3.5-turbo,urban studies
Senior living facilities,Ethnic neighborhoods with cultural festivals,True,Social diversity,gpt-3.5-turbo,urban studies
Luxury condominiums,Affordable housing complexes,True,Housing affordability,gpt-3.5-turbo,urban studies
Industrial warehouses,Green spaces and parks,True,Population density,gpt-3.5-turbo,urban studies
Flood barriers and stormwater management systems,Backup power generators,True,Urban infrastructure resilience,gpt-3.5-turbo,urban studies
Backup power generators,Green infrastructure for climate adaptation,True,Urban infrastructure resilience,gpt-3.5-turbo,urban studies
Ethnic neighborhoods with cultural festivals,Religious institutions of various faiths,True,Social diversity,gpt-3.5-turbo,urban studies
Police precinct stations,Emergency call boxes,True,Public safety measures,gpt-3.5-turbo,urban studies
Local town hall meetings,Youth mentorship programs,True,Community engagement,gpt-3.5-turbo,urban studies
Industrial warehouses,Earthquake-resistant buildings,False,,gpt-3.5-turbo,urban studies
Bike lanes and dedicated paths,Ethnic neighborhoods with cultural festivals,False,,gpt-3.5-turbo,urban studies
Music festivals and cultural events,Botanical gardens,False,,gpt-3.5-turbo,urban studies
Surveillance cameras in public spaces,Bike lanes and dedicated paths,False,,gpt-3.5-turbo,urban studies
Museums and art galleries,Affordable housing complexes,False,,gpt-3.5-turbo,urban studies
Surveillance cameras in public spaces,Green spaces and parks,False,,gpt-3.5-turbo,urban studies
Volunteer clean-up initiatives,Backup power generators,False,,gpt-3.5-turbo,urban studies
Pedestrian-friendly streets,Green infrastructure for climate adaptation,False,,gpt-3.5-turbo,urban studies
Backup power generators,Religious institutions of various faiths,False,,gpt-3.5-turbo,urban studies
Financial district with skyscrapers,Emergency call boxes,False,,gpt-3.5-turbo,urban studies
universal attraction,gravity,True,The force that attracts two objects toward each other,gpt-3.5-turbo,physics
dense core,medium density,True,The amount of matter in an object,gpt-3.5-turbo,physics
ordered state,chaotic,True,The measure of disorder or randomness in a system,gpt-3.5-turbo,physics
gravitational pull,stored energy,True,The energy stored in an object due to its position or configuration,gpt-3.5-turbo,physics
thick fluid,viscosity,True,The resistance of a fluid to flow,gpt-3.5-turbo,physics
dense core,lightweight shell,True,The amount of matter in an object,gpt-3.5-turbo,physics
heat intensity,temperature,True,The measure of the average kinetic energy of particles in a substance,gpt-3.5-turbo,physics
temperature,thermal energy,True,The measure of the average kinetic energy of particles in a substance,gpt-3.5-turbo,physics
massive,inertia,True,The ability of an object to resist changes in its motion,gpt-3.5-turbo,physics
universal attraction,gravitational pull,True,The force that attracts two objects toward each other,gpt-3.5-turbo,physics
medium density,gravity,False,,gpt-3.5-turbo,physics
aerodynamic resistance,medium density,False,,gpt-3.5-turbo,physics
dense core,chaotic,False,,gpt-3.5-turbo,physics
ordered state,stored energy,False,,gpt-3.5-turbo,physics
medium density,viscosity,False,,gpt-3.5-turbo,physics
viscosity,constant motion,False,,gpt-3.5-turbo,physics
fluid friction,lightweight shell,False,,gpt-3.5-turbo,physics
flow resistance,stored energy,False,,gpt-3.5-turbo,physics
friction,lightweight shell,False,,gpt-3.5-turbo,physics
inertia,gravitational pull,False,,gpt-3.5-turbo,physics
Adequately hydrated,Over-hydrated,True,Hydration level,gpt-3.5-turbo,health
Tea enthusiast,Caffeine-free,True,Caffeine consumption,gpt-3.5-turbo,health
Mediterranean,Paleo,True,Dietary preference,gpt-3.5-turbo,health
Yoga,Swimming,True,Type of exercise,gpt-3.5-turbo,health
Takeout lover,Recipe experimenter,True,Cooking style,gpt-3.5-turbo,health
Tea enthusiast,Decaf only,True,Caffeine consumption,gpt-3.5-turbo,health
Sunscreen user,Intermittent exposure,True,Sun exposure,gpt-3.5-turbo,health
Mediterranean,Keto,True,Dietary preference,gpt-3.5-turbo,health
Digital detoxer,Heavy screen user,True,Screen time habits,gpt-3.5-turbo,health
Nature walks,Exercise,True,Stress coping mechanism,gpt-3.5-turbo,health
Solitude seeker,Over-hydrated,False,,gpt-3.5-turbo,health
Hydrated with electrolytes,Nature walks,False,,gpt-3.5-turbo,health
Microwave master,Thirsty,False,,gpt-3.5-turbo,health
Minimal screen time,Paleo,False,,gpt-3.5-turbo,health
Social butterfly,Swimming,False,,gpt-3.5-turbo,health
Thirsty,Decaf only,False,,gpt-3.5-turbo,health
Light sleeper,Intermittent exposure,False,,gpt-3.5-turbo,health
Deep sleeper,Recipe experimenter,False,,gpt-3.5-turbo,health
Decaf only,Keto,False,,gpt-3.5-turbo,health
Light sleeper,Heavy screen user,False,,gpt-3.5-turbo,health
Diode,LED,True,Type of semiconductor device,gpt-3.5-turbo,semiconductor manufacturing
Annealing,Implantation,True,Semiconductor fabrication process,gpt-3.5-turbo,semiconductor manufacturing
Silicon nitride,Aluminum oxide,True,Dielectric material,gpt-3.5-turbo,semiconductor manufacturing
LED,MOSFET,True,Type of semiconductor device,gpt-3.5-turbo,semiconductor manufacturing
Millisecond annealing,Flash annealing,True,Annealing technique,gpt-3.5-turbo,semiconductor manufacturing
Silicon nitride,Silicon dioxide,True,Dielectric material,gpt-3.5-turbo,semiconductor manufacturing
Germanium,Gallium arsenide,True,Type of semiconductor material,gpt-3.5-turbo,semiconductor manufacturing
Silicon nitride,Boron nitride,True,Dielectric material,gpt-3.5-turbo,semiconductor manufacturing
Laser annealing,Millisecond annealing,True,Annealing technique,gpt-3.5-turbo,semiconductor manufacturing
LED,Transistor,True,Type of semiconductor device,gpt-3.5-turbo,semiconductor manufacturing
Lithography,LED,False,,gpt-3.5-turbo,semiconductor manufacturing
Lift-off mask,Implantation,False,,gpt-3.5-turbo,semiconductor manufacturing
ISO Class 1,Aluminum oxide,False,,gpt-3.5-turbo,semiconductor manufacturing
Reactive ion etching,MOSFET,False,,gpt-3.5-turbo,semiconductor manufacturing
Contact mask,Flash annealing,False,,gpt-3.5-turbo,semiconductor manufacturing
Rapid thermal annealing,Silicon dioxide,False,,gpt-3.5-turbo,semiconductor manufacturing
MEMS,Flash annealing,False,,gpt-3.5-turbo,semiconductor manufacturing
MEMS,Gallium arsenide,False,,gpt-3.5-turbo,semiconductor manufacturing
Implantation,Boron nitride,False,,gpt-3.5-turbo,semiconductor manufacturing
Implantation,Millisecond annealing,False,,gpt-3.5-turbo,semiconductor manufacturing
UDP,TCP/IP,True,Network Protocol,gpt-3.5-turbo,computer science
UDP,SMTP,True,Network Protocol,gpt-3.5-turbo,computer science
Lean,Waterfall,True,Software Development Methodology,gpt-3.5-turbo,computer science
Document-oriented,Key-Value,True,Database Model,gpt-3.5-turbo,computer science
Distributed,Time-sharing,True,Operating System,gpt-3.5-turbo,computer science
Queue,Graph,True,Data Structure,gpt-3.5-turbo,computer science
Django,Angular,True,Web Development Framework,gpt-3.5-turbo,computer science
Binary Tree,Hash Table,True,Data Structure,gpt-3.5-turbo,computer science
Neural Networks,Reinforcement Learning,True,Machine Learning Technique,gpt-3.5-turbo,computer science
Backtracking,Searching,True,Algorithm,gpt-3.5-turbo,computer science
Real-time,TCP/IP,False,,gpt-3.5-turbo,computer science
Multi-tasking,Vue.js,False,,gpt-3.5-turbo,computer science
Time-sharing,Waterfall,False,,gpt-3.5-turbo,computer science
Lean,Key-Value,False,,gpt-3.5-turbo,computer science
Embedded,Social Engineering,False,,gpt-3.5-turbo,computer science
UDP,Graph,False,,gpt-3.5-turbo,computer science
Imperative,Reinforcement Learning,False,,gpt-3.5-turbo,computer science
SMTP,Hash Table,False,,gpt-3.5-turbo,computer science
Angular,Reinforcement Learning,False,,gpt-3.5-turbo,computer science
Reinforcement Learning,Searching,False,,gpt-3.5-turbo,computer science
Devout Catholic,Practicing Muslim,True,Religious Affiliation,gpt-3.5-turbo,sociology
Child raised by grandparents,Single parent household,True,Family Structure,gpt-3.5-turbo,sociology
