Text1,Text2,Same Causal Variable,domain,text1_text2_cos_sim_text-embedding-3-large
impeachment in the United States,attack,False,wiki_causal,0.165
massacres,slaughter,True,wiki_causal,0.558
civil unrest,social ill,False,wiki_causal,0.434
mass killings,mass murder,True,wiki_causal,0.827
communicable disease,outbreak,False,wiki_causal,0.395
mass killing,soree murders,True,wiki_causal,0.418
civil strife,armed conflict,False,wiki_causal,0.524
mass murder,spree murder,True,wiki_causal,0.654
impeach,bomb attack,False,wiki_causal,0.255
aviation accident,plane crash,True,wiki_causal,0.669
mass shooting,school shooting,False,wiki_causal,0.739
air accident,aircraft accident,True,wiki_causal,0.839
mass shooting,affair,False,wiki_causal,0.185
aircraft accident,aviation accident,True,wiki_causal,0.862
heist,statutory law,False,wiki_causal,0.086
misadventure,mishap,True,wiki_causal,0.736
economy crisis,school shooting,False,wiki_causal,0.216
misfortune,mishap,True,wiki_causal,0.614
volcano eruption,homicide,False,wiki_causal,0.25
accident,misfortune,True,wiki_causal,0.476
impeachment in the United States,eruption,False,wiki_causal,0.184
coup,overthrow,True,wiki_causal,0.512
murder,industrial disaster,False,wiki_causal,0.248
coup,golpe,True,wiki_causal,0.542
murder,street protest,False,wiki_causal,0.212
coups,coups d'état,True,wiki_causal,0.716
economic crisis,hazard,False,wiki_causal,0.227
political regime change,revolution,True,wiki_causal,0.415
incendiarism,mass shooting,False,wiki_causal,0.255
Regime change,change of political regime,True,wiki_causal,0.761
statutory law,tsunami,False,wiki_causal,0.138
regime change,revolution,True,wiki_causal,0.453
excess demand,risk factor,False,wiki_causal,0.187
self-killing,suicide,True,wiki_causal,0.689
suicide,disasters,False,wiki_causal,0.315
self-killing,self-murder,True,wiki_causal,0.841
workplace accident,self-murder,False,wiki_causal,0.251
killed by self,suicide,True,wiki_causal,0.601
misfortune,energy crisis,False,wiki_causal,0.242
civil disorder,social unrest,True,wiki_causal,0.659
change of political regime,energy crisis,False,wiki_causal,0.278
civil strife,social unrest,True,wiki_causal,0.618
demand surplus,earth quake,False,wiki_causal,0.182
civil disorder,civil strife,True,wiki_causal,0.653
aircraft crash,emerging communicable disease,False,wiki_causal,0.172
demonstration,protest,True,wiki_causal,0.54
conflict,fire-raising,False,wiki_causal,0.228
rally,street protest,True,wiki_causal,0.403
incendiarism,epidemic,False,wiki_causal,0.217
demonstration,street protest,True,wiki_causal,0.437
mass shooting,outbreak,False,wiki_causal,0.357
demonstration,protest,True,wiki_causal,0.54
mass shooting,energy crisis,False,wiki_causal,0.215
demonstration,dissents,True,wiki_causal,0.248
outbreak,fraud,False,wiki_causal,0.274
power conflict,protest movements,True,wiki_causal,0.347
economic crisis,dissent,False,wiki_causal,0.191
natural calamity,natural disaster,True,wiki_causal,0.781
fraud,economic crisis,False,wiki_causal,0.262
natural calamity,natural hazard,True,wiki_causal,0.651
bomb attack,energy crisis,False,wiki_causal,0.281
natural disaster,natural hazard,True,wiki_causal,0.718
energy crisis,social problems,False,wiki_causal,0.318
calamity,catastrophe,True,wiki_causal,0.703
air accident,incendiarism,False,wiki_causal,0.241
calamity,disasters,True,wiki_causal,0.561
volcanic eruption,military conflict,False,wiki_causal,0.291
catastrophe,disasters,True,wiki_causal,0.663
offence,"Communicable Diseases, Emerging",False,wiki_causal,0.085
social ill,social problems,True,wiki_causal,0.659
statutory law,ID,False,wiki_causal,0.095
social ill,social problem,True,wiki_causal,0.668
military conflict,change of regime,False,wiki_causal,0.363
social issue,social problem,True,wiki_causal,0.79
juloos,infection,False,wiki_causal,0.193
crime,criminal offense,True,wiki_causal,0.582
"Communicable Diseases, Emerging",change of political regime,False,wiki_causal,0.081
hoodlum,offence,True,wiki_causal,0.236
excess demand,statute law,False,wiki_causal,0.121
crime,criminal offence,True,wiki_causal,0.559
homicide,epidemic,False,wiki_causal,0.293
murder 2,murders,True,wiki_causal,0.616
quake,occupational accident,False,wiki_causal,0.196
murder,murder two,True,wiki_causal,0.722
offence,demand surplus,False,wiki_causal,0.117
aggravated murder [Illinois],murders,True,wiki_causal,0.467
ID,school shooting,False,wiki_causal,0.149
homicide,murder,True,wiki_causal,0.671
risk factor,disease outbreak,False,wiki_causal,0.31
burst,explosion,True,wiki_causal,0.521
statute law,street protest,False,wiki_causal,0.247
bang,blast,True,wiki_causal,0.474
hazard,murders,False,wiki_causal,0.196
boom,explosion,True,wiki_causal,0.49
demonstrations,economic shortage,False,wiki_causal,0.197
conflict,dispute,True,wiki_causal,0.616
incendiarism,outbreak,False,wiki_causal,0.241
conflict (psychological),psychological conflict,True,wiki_causal,0.86
disease outbreak,mass shooting,False,wiki_causal,0.348
"conflict, psychological",psychological conflict,True,wiki_causal,0.847
