Value,Variable definition,Interaction Value,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Plasma Enhanced Chemical Vapor Deposition,"['Via Fill Material', 'Via Fill Method']",False,llama3-70b,semiconductor manufacturing,0.239
Laser Annealing,"['Via Fill Material', 'Via Fill Method']",False,llama3-70b,semiconductor manufacturing,0.213
Chemical Mechanical Polishing,"['Barrier Layer Material', 'Diffusion Barrier Application']",False,llama3-70b,semiconductor manufacturing,0.297
Gate Oxide Formation,"['Barrier Layer Material', 'Diffusion Barrier Application']",False,llama3-70b,semiconductor manufacturing,0.325
Gate Oxide Formation,"['Dielectric Material Deposition Method', 'Dielectric Material']",False,llama3-70b,semiconductor manufacturing,0.305
Laser Annealing,"['Photoresist Removal Method', 'Wafer Cleaning Method']",False,llama3-70b,semiconductor manufacturing,0.303
Plasma Enhanced Chemical Vapor Deposition,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",False,llama3-70b,semiconductor manufacturing,0.348
Natural Language Processing Algorithm,"['Algorithm Type', 'Algorithm Application']",True,llama3-70b,computer science,0.342
Cloud-Based Data Storage,"['Data Storage Location', 'Data Storage Type']",True,llama3-70b,computer science,0.443
Real-Time Data Analytics,"['Data Analytics Speed', 'Data Analytics Type']",True,llama3-70b,computer science,0.521
Artificial Intelligence Decision Support,"['Decision Support Method', 'Decision Support Type']",True,llama3-70b,computer science,0.553
Real-Time Data Processing,"['Data Processing Speed', 'Data Processing Type']",True,llama3-70b,computer science,0.471
High-Performance Computing Cluster,"['Computing System Type', 'Computing System Architecture']",True,llama3-70b,computer science,0.309
Cybersecurity Threat Detection,"['Threat Detection Method', 'Threat Detection Type']",True,llama3-70b,computer science,0.567
Cloud-Based Software Development,"['Software Development Environment', 'Software Development Method']",True,llama3-70b,computer science,0.455
Distributed Database System,"['Database System Type', 'Database System Architecture']",True,llama3-70b,computer science,0.408
Machine Learning Model Training,"['Model Training Method', 'Model Training Type']",True,llama3-70b,computer science,0.56
Natural Language Processing Algorithm,"['Data Analytics Speed', 'Data Analytics Type']",False,llama3-70b,computer science,0.213
Cloud-Based Data Storage,"['Database System Type', 'Database System Architecture']",False,llama3-70b,computer science,0.21
Artificial Intelligence Decision Support,"['Data Storage Location', 'Data Storage Type']",False,llama3-70b,computer science,0.2
Real-Time Data Processing,"['Threat Detection Method', 'Threat Detection Type']",False,llama3-70b,computer science,0.209
High-Performance Computing Cluster,"['Database System Type', 'Database System Architecture']",False,llama3-70b,computer science,0.245
Cybersecurity Threat Detection,"['Data Processing Speed', 'Data Processing Type']",False,llama3-70b,computer science,0.219
Cloud-Based Data Storage,"['Data Analytics Speed', 'Data Analytics Type']",False,llama3-70b,computer science,0.242
Cloud-Based Software Development,"['Data Processing Speed', 'Data Processing Type']",False,llama3-70b,computer science,0.151
Cybersecurity Threat Detection,"['Model Training Method', 'Model Training Type']",False,llama3-70b,computer science,0.165
Artificial Intelligence Decision Support,"['Model Training Method', 'Model Training Type']",False,llama3-70b,computer science,0.244
Community Volunteering,"['Civic Engagement', 'Social Capital']",True,llama3-70b,sociology,0.391
Cultural Festivals,"['Cultural Identity', 'Social Integration']",True,llama3-70b,sociology,0.385
Youth Mentorship,"['Social Support', 'Human Capital']",True,llama3-70b,sociology,0.286
Neighborhood Revitalization,"['Urban Development', 'Community Empowerment']",True,llama3-70b,sociology,0.377
Community Arts,"['Cultural Expression', 'Social Cohesion']",True,llama3-70b,sociology,0.435
Faith-Based Organizations,"['Religious Identity', 'Social Services']",True,llama3-70b,sociology,0.39
Intergenerational Programs,"['Intergenerational Relationships', 'Social Learning']",True,llama3-70b,sociology,0.535
Family Reunions,"['Family Structure', 'Social Bonding']",True,llama3-70b,sociology,0.342
Environmental Activism,"['Environmental Awareness', 'Collective Action']",True,llama3-70b,sociology,0.571
Neighborhood Watch,"['Community Cohesion', 'Crime Prevention']",True,llama3-70b,sociology,0.369
Community Volunteering,"['Religious Identity', 'Social Services']",False,llama3-70b,sociology,0.285
Cultural Festivals,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology,0.204
Cultural Festivals,"['Civic Engagement', 'Social Capital']",False,llama3-70b,sociology,0.217
Youth Mentorship,"['Cultural Expression', 'Social Cohesion']",False,llama3-70b,sociology,0.244
Neighborhood Revitalization,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology,0.19
Community Arts,"['Urban Development', 'Community Empowerment']",False,llama3-70b,sociology,0.376
Cultural Festivals,"['Social Support', 'Human Capital']",False,llama3-70b,sociology,0.166
Faith-Based Organizations,"['Environmental Awareness', 'Collective Action']",False,llama3-70b,sociology,0.226
Community Volunteering,"['Family Structure', 'Social Bonding']",False,llama3-70b,sociology,0.203
Faith-Based Organizations,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology,0.171
Neurofeedback Training,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",True,llama3-70b,psychology,0.389
Social Media Addiction,"['Addictive Behavior', 'Mental Health', 'Coping Mechanism']",True,llama3-70b,psychology,0.394
Cognitive Bias,"['Information Processing', 'Decision Making', 'Error Detection']",True,llama3-70b,psychology,0.323
Emotional Intelligence,"['Self-Awareness', 'Empathy', 'Social Skills']",True,llama3-70b,psychology,0.49
Peer Pressure,"['Social Influence', 'Risk Taking', 'Identity Formation']",True,llama3-70b,psychology,0.452
Traumatic Experience,"['Stress Response', 'Emotional Regulation', 'Memory Formation']",True,llama3-70b,psychology,0.32
Mindfulness Practice,"['Attention Control', 'Emotional Regulation', 'Self-Awareness']",True,llama3-70b,psychology,0.405
Emotional Support,"['Social Connection', 'Stress Reduction', 'Mental Health']",True,llama3-70b,psychology,0.407
Learning Disability,"['Cognitive Ability', 'Academic Achievement', 'Neuroplasticity']",True,llama3-70b,psychology,0.296
Group Therapy,"['Social Support', 'Coping Mechanism', 'Mental Health']",True,llama3-70b,psychology,0.324
Neurofeedback Training,"['Social Connection', 'Stress Reduction', 'Mental Health']",False,llama3-70b,psychology,0.275
Neurofeedback Training,"['Self-Awareness', 'Empathy', 'Social Skills']",False,llama3-70b,psychology,0.273
Neurofeedback Training,"['Social Influence', 'Risk Taking', 'Identity Formation']",False,llama3-70b,psychology,0.158
Social Media Addiction,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",False,llama3-70b,psychology,0.196
Emotional Intelligence,"['Social Connection', 'Stress Reduction', 'Mental Health']",False,llama3-70b,psychology,0.292
Neurofeedback Training,"['Information Processing', 'Decision Making', 'Error Detection']",False,llama3-70b,psychology,0.281
Peer Pressure,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",False,llama3-70b,psychology,0.188
Traumatic Experience,"['Attention Control', 'Emotional Regulation', 'Self-Awareness']",False,llama3-70b,psychology,0.244
Traumatic Experience,"['Social Influence', 'Risk Taking', 'Identity Formation']",False,llama3-70b,psychology,0.249
Emotional Intelligence,"['Social Support', 'Coping Mechanism', 'Mental Health']",False,llama3-70b,psychology,0.296
Demographic Shifts,"['Labor Market', 'Consumer Behavior', 'Economic Growth']",True,llama3-70b,finance,0.306
Mergers and Acquisitions,"['Corporate Strategy', 'Financial Performance', 'Market Trends']",True,llama3-70b,finance,0.395
Currency Fluctuations,"['Exchange Rates', 'International Trade', 'Financial Markets']",True,llama3-70b,finance,0.414
Regulatory Changes,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",True,llama3-70b,finance,0.364
Geopolitical Tensions,"['Political Risk', 'International Relations', 'Financial Markets']",True,llama3-70b,finance,0.433
Fiscal Policy Changes,"['Government Spending', 'Taxation', 'Economic Growth']",True,llama3-70b,finance,0.435
Environmental Concerns,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",True,llama3-70b,finance,0.343
Global Economic Downturn,"['Economic Indicators', 'Financial Performance', 'Market Trends']",True,llama3-70b,finance,0.362
Central Bank Intervention,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",True,llama3-70b,finance,0.351
Technological Disruption,"['Innovation', 'Operational Efficiency', 'Competitive Landscape']",True,llama3-70b,finance,0.371
Demographic Shifts,"['Government Spending', 'Taxation', 'Economic Growth']",False,llama3-70b,finance,0.228
Mergers and Acquisitions,"['Labor Market', 'Consumer Behavior', 'Economic Growth']",False,llama3-70b,finance,0.234
Currency Fluctuations,"['Government Spending', 'Taxation', 'Economic Growth']",False,llama3-70b,finance,0.265
Demographic Shifts,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",False,llama3-70b,finance,0.119
Regulatory Changes,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",False,llama3-70b,finance,0.262
Regulatory Changes,"['Corporate Strategy', 'Financial Performance', 'Market Trends']",False,llama3-70b,finance,0.236
Fiscal Policy Changes,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",False,llama3-70b,finance,0.355
Currency Fluctuations,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",False,llama3-70b,finance,0.215
Mergers and Acquisitions,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",False,llama3-70b,finance,0.284
Demographic Shifts,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",False,llama3-70b,finance,0.187
Transit-Oriented Development,"['Urban Planning', 'Transportation']",True,mixtral-8x22b-instruct,urban studies,0.361
Urban Resilience,"['Disaster Risk Reduction', 'Urban Planning']",True,mixtral-8x22b-instruct,urban studies,0.467
Gentrification,"['Neighborhood Change', 'Demographic Shift']",True,mixtral-8x22b-instruct,urban studies,0.43
Smart City Initiatives,"['Urban Governance', 'Technology']",True,mixtral-8x22b-instruct,urban studies,0.467
Green Infrastructure,"['Urban Ecosystem Services', 'Urban Design']",True,mixtral-8x22b-instruct,urban studies,0.415
Urban Agriculture,"['Food Production', 'Land Use']",True,mixtral-8x22b-instruct,urban studies,0.417
Adaptive Reuse,"['Historic Preservation', 'Urban Development']",True,mixtral-8x22b-instruct,urban studies,0.382
Urban Heat Island Effect,"['Urban Climate', 'Land Cover']",True,mixtral-8x22b-instruct,urban studies,0.463
Suburban Sprawl,"['Urbanization Pattern', 'Land Use']",True,mixtral-8x22b-instruct,urban studies,0.397
Mixed-Use Development,"['Land Use', 'Urban Form']",True,mixtral-8x22b-instruct,urban studies,0.377
Transit-Oriented Development,"['Urbanization Pattern', 'Land Use']",False,mixtral-8x22b-instruct,urban studies,0.292
Urban Resilience,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies,0.445
Gentrification,"['Disaster Risk Reduction', 'Urban Planning']",False,mixtral-8x22b-instruct,urban studies,0.186
Smart City Initiatives,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies,0.315
Green Infrastructure,"['Urbanization Pattern', 'Land Use']",False,mixtral-8x22b-instruct,urban studies,0.299
Urban Agriculture,"['Disaster Risk Reduction', 'Urban Planning']",False,mixtral-8x22b-instruct,urban studies,0.295
Urban Agriculture,"['Neighborhood Change', 'Demographic Shift']",False,mixtral-8x22b-instruct,urban studies,0.25
Smart City Initiatives,"['Urban Planning', 'Transportation']",False,mixtral-8x22b-instruct,urban studies,0.352
Adaptive Reuse,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies,0.193
Urban Heat Island Effect,"['Food Production', 'Land Use']",False,mixtral-8x22b-instruct,urban studies,0.178
Wave-particle duality,"['Particle nature', 'Wave nature']",True,mixtral-8x22b-instruct,physics,0.611
Superconductivity,"['Electrical resistance', 'Magnetic field expulsion']",True,mixtral-8x22b-instruct,physics,0.346
Quantum entanglement,"['Particle correlation', 'Measurement outcome']",True,mixtral-8x22b-instruct,physics,0.423
Electromagnetic induction,"['Magnetic field', 'Electric current']",True,mixtral-8x22b-instruct,physics,0.421
Photon absorption and emission,"['Electron energy levels', 'Photon energy']",True,mixtral-8x22b-instruct,physics,0.403
Radioactive decay,"['Nuclear stability', 'Radiation emission']",True,mixtral-8x22b-instruct,physics,0.508
Nuclear fission,"['Nuclear energy', 'Nuclear waste']",True,mixtral-8x22b-instruct,physics,0.384
Phase transitions,"['Intermolecular forces', 'Physical state']",True,mixtral-8x22b-instruct,physics,0.433
Black hole event horizon,"['Gravitational pull', 'Escape velocity']",True,mixtral-8x22b-instruct,physics,0.331
Solar radiation absorption,"['Temperature', 'Energy conversion']",True,mixtral-8x22b-instruct,physics,0.292
Wave-particle duality,"['Magnetic field', 'Electric current']",False,mixtral-8x22b-instruct,physics,0.254
Superconductivity,"['Magnetic field', 'Electric current']",False,mixtral-8x22b-instruct,physics,0.294
Wave-particle duality,"['Particle correlation', 'Measurement outcome']",False,mixtral-8x22b-instruct,physics,0.43
Quantum entanglement,"['Electron energy levels', 'Photon energy']",False,mixtral-8x22b-instruct,physics,0.305
Electromagnetic induction,"['Gravitational pull', 'Escape velocity']",False,mixtral-8x22b-instruct,physics,0.18
Photon absorption and emission,"['Intermolecular forces', 'Physical state']",False,mixtral-8x22b-instruct,physics,0.199
Radioactive decay,"['Intermolecular forces', 'Physical state']",False,mixtral-8x22b-instruct,physics,0.178
Superconductivity,"['Electron energy levels', 'Photon energy']",False,mixtral-8x22b-instruct,physics,0.217
Quantum entanglement,"['Temperature', 'Energy conversion']",False,mixtral-8x22b-instruct,physics,0.162
Nuclear fission,"['Particle nature', 'Wave nature']",False,mixtral-8x22b-instruct,physics,0.219
Sedentary lifestyle and high-salt diet,"['Physical activity level', 'Dietary habits']",True,mixtral-8x22b-instruct,health,0.41
Regular exercise and balanced diet,"['Physical activity level', 'Dietary habits']",True,mixtral-8x22b-instruct,health,0.443
Active social life and mental well-being,"['Social engagement', 'Mental health status']",True,mixtral-8x22b-instruct,health,0.558
Adequate sleep and stress management,"['Sleep duration', 'Stress levels']",True,mixtral-8x22b-instruct,health,0.52
Infrequent medical check-ups and poor medication adherence,"['Healthcare utilization', 'Medication adherence']",True,mixtral-8x22b-instruct,health,0.514
Isolated lifestyle and poor mental health,"['Social engagement', 'Mental health status']",True,mixtral-8x22b-instruct,health,0.419
Inadequate sleep and high stress,"['Sleep duration', 'Stress levels']",True,mixtral-8x22b-instruct,health,0.538
Overweight and poor nutrition,"['Body weight', 'Nutritional status']",True,mixtral-8x22b-instruct,health,0.491
Healthy body weight and balanced nutrition,"['Body weight', 'Nutritional status']",True,mixtral-8x22b-instruct,health,0.554
Regular medical check-ups and medication adherence,"['Healthcare utilization', 'Medication adherence']",True,mixtral-8x22b-instruct,health,0.526
Sedentary lifestyle and high-salt diet,"['Social engagement', 'Mental health status']",False,mixtral-8x22b-instruct,health,0.215
Active social life and mental well-being,"['Healthcare utilization', 'Medication adherence']",False,mixtral-8x22b-instruct,health,0.233
Adequate sleep and stress management,"['Physical activity level', 'Dietary habits']",False,mixtral-8x22b-instruct,health,0.295
Isolated lifestyle and poor mental health,"['Sleep duration', 'Stress levels']",False,mixtral-8x22b-instruct,health,0.23
Regular exercise and balanced diet,"['Sleep duration', 'Stress levels']",False,mixtral-8x22b-instruct,health,0.268
Adequate sleep and stress management,"['Healthcare utilization', 'Medication adherence']",False,mixtral-8x22b-instruct,health,0.266
Inadequate sleep and high stress,"['Social engagement', 'Mental health status']",False,mixtral-8x22b-instruct,health,0.282
Overweight and poor nutrition,"['Body weight', 'Nutritional status']",False,mixtral-8x22b-instruct,health,0.491
Active social life and mental well-being,"['Body weight', 'Nutritional status']",False,mixtral-8x22b-instruct,health,0.202
Regular exercise and balanced diet,"['Physical activity level', 'Dietary habits']",False,mixtral-8x22b-instruct,health,0.443
Thermal oxidation with wet oxygen,"['Oxidation process', 'Oxidation environment']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.501
Chemical vapor deposition with silane gas,"['Deposition process', 'Deposition gas']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.46
Photolithography process with 193nm wavelength,"['Lithography process', 'Lithography wavelength']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.594
Electroplating with copper,"['Plating process', 'Plating material']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.464
Etching process with fluorine-based plasma,"['Etching process', 'Etching gas']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.612
Metallization with aluminum,"['Metallization process', 'Metallization material']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.637
Physical vapor deposition with sputtering,"['Deposition process', 'Deposition method']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.385
Rapid thermal annealing with inert gas,"['Annealing process', 'Annealing environment']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.498
Ion implantation with boron ions,"['Ion implantation process', 'Ion implantation species']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.614
Chemical mechanical planarization with silica slurry,"['Planarization process', 'Planarization slurry']",True,mixtral-8x22b-instruct,semiconductor manufacturing,0.628
Thermal oxidation with wet oxygen,"['Etching process', 'Etching gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.35
Chemical vapor deposition with silane gas,"['Planarization process', 'Planarization slurry']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.349
Photolithography process with 193nm wavelength,"['Etching process', 'Etching gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.39
Thermal oxidation with wet oxygen,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.307
Electroplating with copper,"['Oxidation process', 'Oxidation environment']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.203
Etching process with fluorine-based plasma,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.36
Electroplating with copper,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.224
Thermal oxidation with wet oxygen,"['Deposition process', 'Deposition method']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.241
Metallization with aluminum,"['Lithography process', 'Lithography wavelength']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.282
Physical vapor deposition with sputtering,"['Oxidation process', 'Oxidation environment']",False,mixtral-8x22b-instruct,semiconductor manufacturing,0.188
Agile software development methodology,"['Software development methodology', 'Development approach']",True,mixtral-8x22b-instruct,computer science,0.589
Database management system,"['Data management system', 'Data management method']",True,mixtral-8x22b-instruct,computer science,0.568
Distributed system architecture,"['System architecture', 'Component interaction']",True,mixtral-8x22b-instruct,computer science,0.492
Web application development,"['Application type', 'Development platform']",True,mixtral-8x22b-instruct,computer science,0.49
Cybersecurity threat detection,"['Security domain', 'Threat detection method']",True,mixtral-8x22b-instruct,computer science,0.59
Object-oriented programming paradigm,"['Programming paradigm', 'Code organization']",True,mixtral-8x22b-instruct,computer science,0.535
Machine learning model deployment,"['Model deployment', 'Model type']",True,mixtral-8x22b-instruct,computer science,0.589
Data visualization techniques,"['Data representation', 'Visualization method']",True,mixtral-8x22b-instruct,computer science,0.622
Cloud-based data processing,"['Data storage location', 'Data processing method']",True,mixtral-8x22b-instruct,computer science,0.45
Secure network communication,"['Network protocol', 'Data encryption']",True,mixtral-8x22b-instruct,computer science,0.464
Agile software development methodology,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science,0.258
Database management system,"['System architecture', 'Component interaction']",False,mixtral-8x22b-instruct,computer science,0.208
Distributed system architecture,"['Data storage location', 'Data processing method']",False,mixtral-8x22b-instruct,computer science,0.205
Web application development,"['Data representation', 'Visualization method']",False,mixtral-8x22b-instruct,computer science,0.177
Distributed system architecture,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science,0.26
Distributed system architecture,"['Model deployment', 'Model type']",False,mixtral-8x22b-instruct,computer science,0.209
Cybersecurity threat detection,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science,0.21
Database management system,"['Data representation', 'Visualization method']",False,mixtral-8x22b-instruct,computer science,0.204
Web application development,"['System architecture', 'Component interaction']",False,mixtral-8x22b-instruct,computer science,0.241
Database management system,"['Software development methodology', 'Development approach']",False,mixtral-8x22b-instruct,computer science,0.25
Urban poverty,"['Level of urbanization', 'Poverty level']",True,mixtral-8x22b-instruct,sociology,0.486
Urban gentrification,"['Level of urbanization', 'Gentrification level']",True,mixtral-8x22b-instruct,sociology,0.55
