Value,Variable definition,Interaction Value,model Name,domain
Neurological Disorder,"['Cholesterol Levels', 'Blood Pressure']",False,llama3-8b,health
Infectious Disease Outbreak,"['Cholesterol Levels', 'Blood Pressure']",False,llama3-8b,health
Hypertension Diagnosis,"['Symptoms', 'Cognitive Function']",False,llama3-8b,health
Pregnancy Complication,"['Symptoms', 'Cognitive Function']",False,llama3-8b,health
Neurological Disorder,"['Symptoms', 'Gastrointestinal Function']",False,llama3-8b,health
Pregnancy Complication,"['Symptoms', 'Brain Function']",False,llama3-8b,health
Annealing Process,"['Annealing Temperature', 'Annealing Time']",True,llama3-8b,semiconductor manufacturing
Packaging and Testing,"['Packaging Type', 'Testing Method']",True,llama3-8b,semiconductor manufacturing
Clean Room Environment,"['Clean Room Class', 'Clean Room Temperature']",True,llama3-8b,semiconductor manufacturing
Etching Process Optimization,"['Etching Gas', 'Etching Temperature']",True,llama3-8b,semiconductor manufacturing
Wafer Defect Detection,"['Wafer Defect Type', 'Defect Detection Method']",True,llama3-8b,semiconductor manufacturing
Thermal Processing,"['Thermal Processing Method', 'Thermal Processing Temperature']",True,llama3-8b,semiconductor manufacturing
Packaging Material Selection,"['Packaging Material', 'Packaging Type']",True,llama3-8b,semiconductor manufacturing
Metal Deposition,"['Metal Type', 'Deposition Method']",True,llama3-8b,semiconductor manufacturing
Wafer Dicing,"['Dicing Method', 'Dicing Blade']",True,llama3-8b,semiconductor manufacturing
Material Selection for Wire Bonding,"['Wire Material', 'Wire Bonding Method']",True,llama3-8b,semiconductor manufacturing
Annealing Process,"['Etching Gas', 'Etching Temperature']",False,llama3-8b,semiconductor manufacturing
Packaging and Testing,"['Clean Room Class', 'Clean Room Temperature']",False,llama3-8b,semiconductor manufacturing
Clean Room Environment,"['Packaging Type', 'Testing Method']",False,llama3-8b,semiconductor manufacturing
Clean Room Environment,"['Etching Gas', 'Etching Temperature']",False,llama3-8b,semiconductor manufacturing
Clean Room Environment,"['Metal Type', 'Deposition Method']",False,llama3-8b,semiconductor manufacturing
Etching Process Optimization,"['Wire Material', 'Wire Bonding Method']",False,llama3-8b,semiconductor manufacturing
Wafer Defect Detection,"['Wire Material', 'Wire Bonding Method']",False,llama3-8b,semiconductor manufacturing
Thermal Processing,"['Packaging Material', 'Packaging Type']",False,llama3-8b,semiconductor manufacturing
Etching Process Optimization,"['Clean Room Class', 'Clean Room Temperature']",False,llama3-8b,semiconductor manufacturing
Packaging Material Selection,"['Thermal Processing Method', 'Thermal Processing Temperature']",False,llama3-8b,semiconductor manufacturing
System Update Failure,"['Update Package', 'System Configuration']",True,llama3-8b,computer science
System Resource Overload,"['CPU Usage', 'Memory Allocation']",True,llama3-8b,computer science
Database Query Optimization,"['Query Complexity', 'Indexing']",True,llama3-8b,computer science
Data Encryption Failure,"['Encryption Algorithm', 'Key Management']",True,llama3-8b,computer science
Network Congestion,"['Network Traffic', 'Packet Loss']",True,llama3-8b,computer science
Database Corruption,"['Data Integrity', 'Storage Capacity']",True,llama3-8b,computer science
Network Authentication Failure,"['Username and Password', 'Two-Factor Authentication']",True,llama3-8b,computer science
System Crash,"['Memory Usage', 'CPU Load']",True,llama3-8b,computer science
Data Backup Failure,"['Backup Schedule', 'Storage Capacity']",True,llama3-8b,computer science
System Configuration Conflict,"['Configuration File', 'System Settings']",True,llama3-8b,computer science
System Update Failure,"['CPU Usage', 'Memory Allocation']",False,llama3-8b,computer science
System Resource Overload,"['Update Package', 'System Configuration']",False,llama3-8b,computer science
Database Query Optimization,"['Memory Usage', 'CPU Load']",False,llama3-8b,computer science
System Update Failure,"['Configuration File', 'System Settings']",False,llama3-8b,computer science
Data Encryption Failure,"['Network Traffic', 'Packet Loss']",False,llama3-8b,computer science
Data Encryption Failure,"['Query Complexity', 'Indexing']",False,llama3-8b,computer science
Network Congestion,"['Configuration File', 'System Settings']",False,llama3-8b,computer science
Database Corruption,"['Network Traffic', 'Packet Loss']",False,llama3-8b,computer science
Data Encryption Failure,"['Configuration File', 'System Settings']",False,llama3-8b,computer science
Database Query Optimization,"['Network Traffic', 'Packet Loss']",False,llama3-8b,computer science
Marriage Ceremony,"['Family Structure', 'Social Status']",True,llama3-8b,sociology
Graduation,"['Education Level', 'Career Opportunities']",True,llama3-8b,sociology
Retirement,"['Occupational Status', 'Financial Security']",True,llama3-8b,sociology
Death of a Family Member,"['Family Structure', 'Emotional Well-being']",True,llama3-8b,sociology
Divorce,"['Family Structure', 'Social Status']",True,llama3-8b,sociology
Job Promotion,"['Occupational Status', 'Income']",True,llama3-8b,sociology
Business Failure,"['Occupational Status', 'Financial Security']",True,llama3-8b,sociology
Immigration,"['Cultural Identity', 'Social Integration']",True,llama3-8b,sociology
Newborn Baby,"['Family Size', 'Parenting Style']",True,llama3-8b,sociology
Natural Disaster,"['Community Resilience', 'Economic Status']",True,llama3-8b,sociology
Marriage Ceremony,"['Family Structure', 'Emotional Well-being']",False,llama3-8b,sociology
Graduation,"['Family Size', 'Parenting Style']",False,llama3-8b,sociology
Death of a Family Member,"['Cultural Identity', 'Social Integration']",False,llama3-8b,sociology
Divorce,"['Family Structure', 'Emotional Well-being']",False,llama3-8b,sociology
Job Promotion,"['Family Structure', 'Social Status']",False,llama3-8b,sociology
Graduation,"['Occupational Status', 'Financial Security']",False,llama3-8b,sociology
Retirement,"['Family Size', 'Parenting Style']",False,llama3-8b,sociology
Business Failure,"['Community Resilience', 'Economic Status']",False,llama3-8b,sociology
Immigration,"['Occupational Status', 'Financial Security']",False,llama3-8b,sociology
Death of a Family Member,"['Family Size', 'Parenting Style']",False,llama3-8b,sociology
Mental Health Literacy,"['Knowledge', 'Attitudes']",True,llama3-8b,psychology
Cognitive Distortions,"['Cognitive Biases', 'Emotional States']",True,llama3-8b,psychology
Social Media Addiction,"['Personality Traits', 'Behavioral Patterns']",True,llama3-8b,psychology
Mental Health Outcomes,"['Stress Levels', 'Social Support']",True,llama3-8b,psychology
Cognitive Flexibility,"['Cognitive Styles', 'Emotional States']",True,llama3-8b,psychology
Mental Health Treatment,"['Therapeutic Relationships', 'Treatment Adherence']",True,llama3-8b,psychology
Emotional Regulation Strategies,"['Cognitive Appraisals', 'Emotional Expression']",True,llama3-8b,psychology
Emotional Intelligence,"['Self-Awareness', 'Social Skills']",True,llama3-8b,psychology
Mental Health Services,"['Stigma Perceptions', 'Access to Care']",True,llama3-8b,psychology
Coping Mechanisms,"['Emotional Expression', 'Problem-Focused Coping']",True,llama3-8b,psychology
Mental Health Literacy,"['Cognitive Biases', 'Emotional States']",False,llama3-8b,psychology
Social Media Addiction,"['Emotional Expression', 'Problem-Focused Coping']",False,llama3-8b,psychology
Mental Health Outcomes,"['Personality Traits', 'Behavioral Patterns']",False,llama3-8b,psychology
Social Media Addiction,"['Cognitive Biases', 'Emotional States']",False,llama3-8b,psychology
Cognitive Flexibility,"['Cognitive Appraisals', 'Emotional Expression']",False,llama3-8b,psychology
Mental Health Treatment,"['Stigma Perceptions', 'Access to Care']",False,llama3-8b,psychology
Emotional Regulation Strategies,"['Self-Awareness', 'Social Skills']",False,llama3-8b,psychology
Cognitive Distortions,"['Cognitive Styles', 'Emotional States']",False,llama3-8b,psychology
Social Media Addiction,"['Cognitive Styles', 'Emotional States']",False,llama3-8b,psychology
Emotional Intelligence,"['Personality Traits', 'Behavioral Patterns']",False,llama3-8b,psychology
Credit Rating Downgrade,"['Company Credit Rating', 'Bond Yield']",True,llama3-8b,finance
Company Acquisition,"['Company Name', 'Industry Sector']",True,llama3-8b,finance
Regulatory Change,"['Financial Regulation', 'Industry Sector']",True,llama3-8b,finance
Economic Recession,"['Economic Indicator', 'Unemployment Rate']",True,llama3-8b,finance
Natural Disaster,"['Geographic Location', 'Economic Indicator']",True,llama3-8b,finance
Cybersecurity Breach,"['Company Name', 'Industry Sector']",True,llama3-8b,finance
Currency Devaluation,"['Currency Exchange Rate', 'Economic Policy']",True,llama3-8b,finance
Trade War Escalation,"['Trade Policy', 'Economic Indicator']",True,llama3-8b,finance
Interest Rate Hike,"['Central Bank Interest Rate', 'Economic Indicator']",True,llama3-8b,finance
Market Volatility Surge,"['Stock Market Index', 'Economic Indicator']",True,llama3-8b,finance
Credit Rating Downgrade,"['Company Name', 'Industry Sector']",False,llama3-8b,finance
Company Acquisition,"['Company Credit Rating', 'Bond Yield']",False,llama3-8b,finance
Regulatory Change,"['Central Bank Interest Rate', 'Economic Indicator']",False,llama3-8b,finance
Company Acquisition,"['Economic Indicator', 'Unemployment Rate']",False,llama3-8b,finance
Economic Recession,"['Company Name', 'Industry Sector']",False,llama3-8b,finance
Natural Disaster,"['Central Bank Interest Rate', 'Economic Indicator']",False,llama3-8b,finance
Cybersecurity Breach,"['Company Name', 'Industry Sector']",False,llama3-8b,finance
Economic Recession,"['Geographic Location', 'Economic Indicator']",False,llama3-8b,finance
Natural Disaster,"['Company Name', 'Industry Sector']",False,llama3-8b,finance
Credit Rating Downgrade,"['Financial Regulation', 'Industry Sector']",False,llama3-8b,finance
Implementation of bike-sharing programs,"['Sustainable transportation', 'Urban mobility']",True,mixtral-8x7b-instruct,urban studies
Widespread use of smart city technologies,"['Efficient resource management', 'Resident satisfaction']",True,mixtral-8x7b-instruct,urban studies
Availability of green roofs and walls,"['Urban heat island effect', 'Biodiversity']",True,mixtral-8x7b-instruct,urban studies
Presence of public art installations,"['Public space quality', 'Community engagement']",True,mixtral-8x7b-instruct,urban studies
High density of coffee shops,"['Economic vitality', 'Walkability']",True,mixtral-8x7b-instruct,urban studies
Prevalence of adaptive reuse projects,"['Historic preservation', 'Sustainable development']",True,mixtral-8x7b-instruct,urban studies
Integration of green infrastructure,"['Climate change resilience', 'Liveability']",True,mixtral-8x7b-instruct,urban studies
High concentration of cultural institutions,"['Cultural vitality', 'Tourist appeal']",True,mixtral-8x7b-instruct,urban studies
Robust public transportation network,"['Air quality', 'Social equity']",True,mixtral-8x7b-instruct,urban studies
Proliferation of coworking spaces,"['Economic diversity', 'Innovation ecosystem']",True,mixtral-8x7b-instruct,urban studies
Implementation of bike-sharing programs,"['Economic diversity', 'Innovation ecosystem']",False,mixtral-8x7b-instruct,urban studies
Widespread use of smart city technologies,"['Urban heat island effect', 'Biodiversity']",False,mixtral-8x7b-instruct,urban studies
Implementation of bike-sharing programs,"['Historic preservation', 'Sustainable development']",False,mixtral-8x7b-instruct,urban studies
Availability of green roofs and walls,"['Historic preservation', 'Sustainable development']",False,mixtral-8x7b-instruct,urban studies
Widespread use of smart city technologies,"['Climate change resilience', 'Liveability']",False,mixtral-8x7b-instruct,urban studies
Presence of public art installations,"['Efficient resource management', 'Resident satisfaction']",False,mixtral-8x7b-instruct,urban studies
Widespread use of smart city technologies,"['Air quality', 'Social equity']",False,mixtral-8x7b-instruct,urban studies
High density of coffee shops,"['Sustainable transportation', 'Urban mobility']",False,mixtral-8x7b-instruct,urban studies
Widespread use of smart city technologies,"['Public space quality', 'Community engagement']",False,mixtral-8x7b-instruct,urban studies
Implementation of bike-sharing programs,"['Cultural vitality', 'Tourist appeal']",False,mixtral-8x7b-instruct,urban studies
pair production,"['Particle process', 'Particle type', 'Particle type']",True,mixtral-8x7b-instruct,physics
Cherenkov radiation,"['Optical phenomenon', 'Medium', 'Particle motion']",True,mixtral-8x7b-instruct,physics
nuclear fission,"['Nuclear process', 'Nucleon count']",True,mixtral-8x7b-instruct,physics
superconductivity,"['Electrical property', 'Temperature']",True,mixtral-8x7b-instruct,physics
photoelectric effect,"['Optical phenomenon', 'Energy type']",True,mixtral-8x7b-instruct,physics
electron-proton collision,"['Particle type', 'Particle type']",True,mixtral-8x7b-instruct,physics
quantum entanglement,"['Quantum state', 'Spatial separation']",True,mixtral-8x7b-instruct,physics
gravitational wave emission,"['Physical process', 'Energy state']",True,mixtral-8x7b-instruct,physics
black hole formation,"['Astrophysical object', 'Mass concentration']",True,mixtral-8x7b-instruct,physics
pair production,"['Physical process', 'Energy state']",False,mixtral-8x7b-instruct,physics
Cherenkov radiation,"['Optical phenomenon', 'Energy type']",False,mixtral-8x7b-instruct,physics
nuclear fission,"['Optical phenomenon', 'Medium', 'Particle motion']",False,mixtral-8x7b-instruct,physics
Cherenkov radiation,"['Electrical property', 'Temperature']",False,mixtral-8x7b-instruct,physics
photoelectric effect,"['Electrical property', 'Temperature']",False,mixtral-8x7b-instruct,physics
electron-proton collision,"['Astrophysical object', 'Mass concentration']",False,mixtral-8x7b-instruct,physics
quantum entanglement,"['Physical process', 'Energy state']",False,mixtral-8x7b-instruct,physics
superconductivity,"['Astrophysical object', 'Mass concentration']",False,mixtral-8x7b-instruct,physics
gravitational wave emission,"['Optical phenomenon', 'Medium', 'Particle motion']",False,mixtral-8x7b-instruct,physics
gravitational wave emission,"['Nuclear process', 'Nucleon count']",False,mixtral-8x7b-instruct,physics
Poor Diet and Sedentary Lifestyle,"['Diet Quality', 'Physical Activity Level']",True,mixtral-8x7b-instruct,health
Advanced Age and Chronic Stress,"['Age', 'Stress Levels']",True,mixtral-8x7b-instruct,health
Genetic Predisposition and Environmental Toxins,"['Genetic Factors', 'Environmental Exposure']",True,mixtral-8x7b-instruct,health
Physical Inactivity and Obesity,"['Physical Activity Level', 'Body Mass Index']",True,mixtral-8x7b-instruct,health
Mental Health Disorders and Substance Abuse,"['Mental Health', 'Substance Abuse']",True,mixtral-8x7b-instruct,health
Medication Use and Liver Disease,"['Medication Use', 'Liver Health']",True,mixtral-8x7b-instruct,health
Asthma and Air Pollution,"['Respiratory Health', 'Air Quality']",True,mixtral-8x7b-instruct,health
Unprotected Sun Exposure and Fair Skin,"['Sun Protection Practices', 'Skin Type']",True,mixtral-8x7b-instruct,health
Smoking and Alcohol Consumption,"['Smoking Status', 'Alcohol Consumption']",True,mixtral-8x7b-instruct,health
Pregnancy and Diabetes,"['Pregnancy Status', 'Blood Sugar Levels']",True,mixtral-8x7b-instruct,health
Poor Diet and Sedentary Lifestyle,"['Mental Health', 'Substance Abuse']",False,mixtral-8x7b-instruct,health
Genetic Predisposition and Environmental Toxins,"['Medication Use', 'Liver Health']",False,mixtral-8x7b-instruct,health
Physical Inactivity and Obesity,"['Smoking Status', 'Alcohol Consumption']",False,mixtral-8x7b-instruct,health
Advanced Age and Chronic Stress,"['Genetic Factors', 'Environmental Exposure']",False,mixtral-8x7b-instruct,health
Mental Health Disorders and Substance Abuse,"['Genetic Factors', 'Environmental Exposure']",False,mixtral-8x7b-instruct,health
Medication Use and Liver Disease,"['Smoking Status', 'Alcohol Consumption']",False,mixtral-8x7b-instruct,health
Medication Use and Liver Disease,"['Age', 'Stress Levels']",False,mixtral-8x7b-instruct,health
Mental Health Disorders and Substance Abuse,"['Smoking Status', 'Alcohol Consumption']",False,mixtral-8x7b-instruct,health
Unprotected Sun Exposure and Fair Skin,"['Genetic Factors', 'Environmental Exposure']",False,mixtral-8x7b-instruct,health
Smoking and Alcohol Consumption,"['Genetic Factors', 'Environmental Exposure']",False,mixtral-8x7b-instruct,health
Delamination,"['Underfill material', 'Curing process']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Yield loss,"['Process control', 'Equipment maintenance']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Electromigration,"['Current density', 'Temperature']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Crystal defects,"['Annealing temperature', 'Annealing time']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Thin film stress,"['Deposition rate', 'Substrate temperature']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Etching profile distortion,"['Etchant type', 'Pressure']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Doping concentration fluctuation,"['Doping material', 'Doping method']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Package cracking,"['Thermal expansion coefficient', 'Package design']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Short channel effect,"['Gate length', 'Doping concentration']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Photolithography misalignment,"['Photolithography equipment condition', 'Wafer handling procedure']",True,mixtral-8x7b-instruct,semiconductor manufacturing
Delamination,"['Thermal expansion coefficient', 'Package design']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Yield loss,"['Deposition rate', 'Substrate temperature']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Electromigration,"['Gate length', 'Doping concentration']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Delamination,"['Current density', 'Temperature']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Crystal defects,"['Gate length', 'Doping concentration']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Thin film stress,"['Photolithography equipment condition', 'Wafer handling procedure']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Electromigration,"['Thermal expansion coefficient', 'Package design']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Yield loss,"['Thermal expansion coefficient', 'Package design']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Etching profile distortion,"['Doping material', 'Doping method']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Package cracking,"['Doping material', 'Doping method']",False,mixtral-8x7b-instruct,semiconductor manufacturing
Disk usage,"['Used disk space', 'Total disk space']",True,mixtral-8x7b-instruct,computer science
Software version,"['Major release', 'Minor release']",True,mixtral-8x7b-instruct,computer science
File compression,"['Original file size', 'Compressed file size']",True,mixtral-8x7b-instruct,computer science
Encryption strength,"['Algorithm complexity', 'Key length']",True,mixtral-8x7b-instruct,computer science
Network latency,"['Round-trip time', 'Packet loss']",True,mixtral-8x7b-instruct,computer science
API request,"['Endpoint', 'HTTP method']",True,mixtral-8x7b-instruct,computer science
Code quality,"['Code coverage', 'Code complexity']",True,mixtral-8x7b-instruct,computer science
GPU performance,"['Clock speed', 'Memory size']",True,mixtral-8x7b-instruct,computer science
Data transfer rate,"['Data volume', 'Transfer time']",True,mixtral-8x7b-instruct,computer science
Concurrent CPU and RAM usage,"['CPU usage', 'RAM usage']",True,mixtral-8x7b-instruct,computer science
Disk usage,"['Data volume', 'Transfer time']",False,mixtral-8x7b-instruct,computer science
Software version,"['Code coverage', 'Code complexity']",False,mixtral-8x7b-instruct,computer science
File compression,"['Used disk space', 'Total disk space']",False,mixtral-8x7b-instruct,computer science
Encryption strength,"['Round-trip time', 'Packet loss']",False,mixtral-8x7b-instruct,computer science
Network latency,"['Original file size', 'Compressed file size']",False,mixtral-8x7b-instruct,computer science
Disk usage,"['Major release', 'Minor release']",False,mixtral-8x7b-instruct,computer science
API request,"['Round-trip time', 'Packet loss']",False,mixtral-8x7b-instruct,computer science
Code quality,"['Endpoint', 'HTTP method']",False,mixtral-8x7b-instruct,computer science
Software version,"['Algorithm complexity', 'Key length']",False,mixtral-8x7b-instruct,computer science
Code quality,"['Round-trip time', 'Packet loss']",False,mixtral-8x7b-instruct,computer science
Food desert,"['Location', 'Access']",True,mixtral-8x7b-instruct,sociology
Gender wage gap,"['Gender', 'Income']",True,mixtral-8x7b-instruct,sociology
Climate change vulnerability,"['Geographic area', 'Climate impact']",True,mixtral-8x7b-instruct,sociology
Elderly population density,"['Age group', 'Population density']",True,mixtral-8x7b-instruct,sociology
Single mother households,"['Marital status', 'Household type']",True,mixtral-8x7b-instruct,sociology
Digital divide,"['Income group', 'Technology access']",True,mixtral-8x7b-instruct,sociology
Youth unemployment,"['Economic status', 'Age group']",True,mixtral-8x7b-instruct,sociology
Racial wealth gap,"['Race', 'Wealth']",True,mixtral-8x7b-instruct,sociology
Female literacy rate,"['Gender', 'Educational attainment']",True,mixtral-8x7b-instruct,sociology
Rural urban migration,"['Residence', 'Migration']",True,mixtral-8x7b-instruct,sociology
Food desert,"['Geographic area', 'Climate impact']",False,mixtral-8x7b-instruct,sociology
Gender wage gap,"['Economic status', 'Age group']",False,mixtral-8x7b-instruct,sociology
Elderly population density,"['Race', 'Wealth']",False,mixtral-8x7b-instruct,sociology
Single mother households,"['Economic status', 'Age group']",False,mixtral-8x7b-instruct,sociology
Digital divide,"['Location', 'Access']",False,mixtral-8x7b-instruct,sociology
Elderly population density,"['Income group', 'Technology access']",False,mixtral-8x7b-instruct,sociology
Single mother households,"['Race', 'Wealth']",False,mixtral-8x7b-instruct,sociology
Elderly population density,"['Marital status', 'Household type']",False,mixtral-8x7b-instruct,sociology
Youth unemployment,"['Gender', 'Educational attainment']",False,mixtral-8x7b-instruct,sociology
Youth unemployment,"['Gender', 'Income']",False,mixtral-8x7b-instruct,sociology
Creative thinking,"['Problem approach', 'Cognitive flexibility']",True,mixtral-8x7b-instruct,psychology
Imposter syndrome,"['Self-perception', 'Context']",True,mixtral-8x7b-instruct,psychology
Empathetic response,"['Emotion', 'Reaction type']",True,mixtral-8x7b-instruct,psychology
Competitive attitude,"['Motivation', 'Goal orientation']",True,mixtral-8x7b-instruct,psychology
Perfectionism,"['Striving for excellence', 'Reaction to mistakes']",True,mixtral-8x7b-instruct,psychology
Fear of public speaking,"['Fear level', 'Speaking context']",True,mixtral-8x7b-instruct,psychology
Growth mindset,"['Belief about abilities', 'Response to challenges']",True,mixtral-8x7b-instruct,psychology
Flow state,"['Concentration level', 'Challenge-skill balance']",True,mixtral-8x7b-instruct,psychology
Burnout,"['Emotional exhaustion', 'Work engagement']",True,mixtral-8x7b-instruct,psychology
Resilience,"['Adversity', 'Bounce-back ability']",True,mixtral-8x7b-instruct,psychology
Creative thinking,"['Adversity', 'Bounce-back ability']",False,mixtral-8x7b-instruct,psychology
Imposter syndrome,"['Emotional exhaustion', 'Work engagement']",False,mixtral-8x7b-instruct,psychology
Empathetic response,"['Problem approach', 'Cognitive flexibility']",False,mixtral-8x7b-instruct,psychology
Competitive attitude,"['Belief about abilities', 'Response to challenges']",False,mixtral-8x7b-instruct,psychology
Perfectionism,"['Self-perception', 'Context']",False,mixtral-8x7b-instruct,psychology
Fear of public speaking,"['Striving for excellence', 'Reaction to mistakes']",False,mixtral-8x7b-instruct,psychology
Imposter syndrome,"['Striving for excellence', 'Reaction to mistakes']",False,mixtral-8x7b-instruct,psychology
Creative thinking,"['Belief about abilities', 'Response to challenges']",False,mixtral-8x7b-instruct,psychology
Creative thinking,"['Emotion', 'Reaction type']",False,mixtral-8x7b-instruct,psychology
Creative thinking,"['Striving for excellence', 'Reaction to mistakes']",False,mixtral-8x7b-instruct,psychology
Share Buyback,"['Shareholder Returns', 'Company Financials']",True,mixtral-8x7b-instruct,finance
Acquisition of New Technology,"['Company Capabilities', 'Competitive Advantage']",True,mixtral-8x7b-instruct,finance
Stock Split Announcement,"['Market Sentiment', 'Company Financials']",True,mixtral-8x7b-instruct,finance
Merger Announcement,"['Market Capitalization', 'Competitive Landscape']",True,mixtral-8x7b-instruct,finance
Product Recall,"['Company Financials', 'Brand Reputation']",True,mixtral-8x7b-instruct,finance
Regulatory Fine,"['Company Financials', 'Regulatory Compliance']",True,mixtral-8x7b-instruct,finance
Interest Rate Hike,"['Borrowing Costs', 'Investment Returns']",True,mixtral-8x7b-instruct,finance
Earnings Beat,"['Market Sentiment', 'Company Financials']",True,mixtral-8x7b-instruct,finance
Dividend Declaration,"['Shareholder Returns', 'Company Financials']",True,mixtral-8x7b-instruct,finance
