Value,Variable definition,Interaction Value,model Name,domain
Gate Oxide Formation,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",True,llama3-70b,semiconductor manufacturing
Wafer Edge Bead Removal,"['Wafer Edge Treatment', 'Defect Reduction Method']",True,llama3-70b,semiconductor manufacturing
Photoresist Strip and Clean,"['Photoresist Removal Method', 'Wafer Cleaning Method']",True,llama3-70b,semiconductor manufacturing
Copper Interconnect Fabrication,"['Interconnect Material', 'Interconnect Fabrication Method']",True,llama3-70b,semiconductor manufacturing
Rapid Thermal Annealing,"['Dopant Activation Method', 'Thermal Budget Control']",True,llama3-70b,semiconductor manufacturing
Titanium Nitride Barrier Layer,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",False,llama3-70b,semiconductor manufacturing
Tungsten Via Fill,"['Dopant Activation Method', 'Thermal Budget Control']",False,llama3-70b,semiconductor manufacturing
Plasma Enhanced Chemical Vapor Deposition,"['Interconnect Material', 'Interconnect Fabrication Method']",False,llama3-70b,semiconductor manufacturing
Plasma Enhanced Chemical Vapor Deposition,"['Via Fill Material', 'Via Fill Method']",False,llama3-70b,semiconductor manufacturing
Laser Annealing,"['Via Fill Material', 'Via Fill Method']",False,llama3-70b,semiconductor manufacturing
Chemical Mechanical Polishing,"['Barrier Layer Material', 'Diffusion Barrier Application']",False,llama3-70b,semiconductor manufacturing
Gate Oxide Formation,"['Barrier Layer Material', 'Diffusion Barrier Application']",False,llama3-70b,semiconductor manufacturing
Gate Oxide Formation,"['Dielectric Material Deposition Method', 'Dielectric Material']",False,llama3-70b,semiconductor manufacturing
Laser Annealing,"['Photoresist Removal Method', 'Wafer Cleaning Method']",False,llama3-70b,semiconductor manufacturing
Plasma Enhanced Chemical Vapor Deposition,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",False,llama3-70b,semiconductor manufacturing
Natural Language Processing Algorithm,"['Algorithm Type', 'Algorithm Application']",True,llama3-70b,computer science
Cloud-Based Data Storage,"['Data Storage Location', 'Data Storage Type']",True,llama3-70b,computer science
Real-Time Data Analytics,"['Data Analytics Speed', 'Data Analytics Type']",True,llama3-70b,computer science
Artificial Intelligence Decision Support,"['Decision Support Method', 'Decision Support Type']",True,llama3-70b,computer science
Real-Time Data Processing,"['Data Processing Speed', 'Data Processing Type']",True,llama3-70b,computer science
High-Performance Computing Cluster,"['Computing System Type', 'Computing System Architecture']",True,llama3-70b,computer science
Cybersecurity Threat Detection,"['Threat Detection Method', 'Threat Detection Type']",True,llama3-70b,computer science
Cloud-Based Software Development,"['Software Development Environment', 'Software Development Method']",True,llama3-70b,computer science
Distributed Database System,"['Database System Type', 'Database System Architecture']",True,llama3-70b,computer science
Machine Learning Model Training,"['Model Training Method', 'Model Training Type']",True,llama3-70b,computer science
Natural Language Processing Algorithm,"['Data Analytics Speed', 'Data Analytics Type']",False,llama3-70b,computer science
Cloud-Based Data Storage,"['Database System Type', 'Database System Architecture']",False,llama3-70b,computer science
Artificial Intelligence Decision Support,"['Data Storage Location', 'Data Storage Type']",False,llama3-70b,computer science
Real-Time Data Processing,"['Threat Detection Method', 'Threat Detection Type']",False,llama3-70b,computer science
High-Performance Computing Cluster,"['Database System Type', 'Database System Architecture']",False,llama3-70b,computer science
Cybersecurity Threat Detection,"['Data Processing Speed', 'Data Processing Type']",False,llama3-70b,computer science
Cloud-Based Data Storage,"['Data Analytics Speed', 'Data Analytics Type']",False,llama3-70b,computer science
Cloud-Based Software Development,"['Data Processing Speed', 'Data Processing Type']",False,llama3-70b,computer science
Cybersecurity Threat Detection,"['Model Training Method', 'Model Training Type']",False,llama3-70b,computer science
Artificial Intelligence Decision Support,"['Model Training Method', 'Model Training Type']",False,llama3-70b,computer science
Community Volunteering,"['Civic Engagement', 'Social Capital']",True,llama3-70b,sociology
Cultural Festivals,"['Cultural Identity', 'Social Integration']",True,llama3-70b,sociology
Youth Mentorship,"['Social Support', 'Human Capital']",True,llama3-70b,sociology
Neighborhood Revitalization,"['Urban Development', 'Community Empowerment']",True,llama3-70b,sociology
Community Arts,"['Cultural Expression', 'Social Cohesion']",True,llama3-70b,sociology
Faith-Based Organizations,"['Religious Identity', 'Social Services']",True,llama3-70b,sociology
Intergenerational Programs,"['Intergenerational Relationships', 'Social Learning']",True,llama3-70b,sociology
Family Reunions,"['Family Structure', 'Social Bonding']",True,llama3-70b,sociology
Environmental Activism,"['Environmental Awareness', 'Collective Action']",True,llama3-70b,sociology
Neighborhood Watch,"['Community Cohesion', 'Crime Prevention']",True,llama3-70b,sociology
Community Volunteering,"['Religious Identity', 'Social Services']",False,llama3-70b,sociology
Cultural Festivals,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology
Cultural Festivals,"['Civic Engagement', 'Social Capital']",False,llama3-70b,sociology
Youth Mentorship,"['Cultural Expression', 'Social Cohesion']",False,llama3-70b,sociology
Neighborhood Revitalization,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology
Community Arts,"['Urban Development', 'Community Empowerment']",False,llama3-70b,sociology
Cultural Festivals,"['Social Support', 'Human Capital']",False,llama3-70b,sociology
Faith-Based Organizations,"['Environmental Awareness', 'Collective Action']",False,llama3-70b,sociology
Community Volunteering,"['Family Structure', 'Social Bonding']",False,llama3-70b,sociology
Faith-Based Organizations,"['Intergenerational Relationships', 'Social Learning']",False,llama3-70b,sociology
Neurofeedback Training,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",True,llama3-70b,psychology
Social Media Addiction,"['Addictive Behavior', 'Mental Health', 'Coping Mechanism']",True,llama3-70b,psychology
Cognitive Bias,"['Information Processing', 'Decision Making', 'Error Detection']",True,llama3-70b,psychology
Emotional Intelligence,"['Self-Awareness', 'Empathy', 'Social Skills']",True,llama3-70b,psychology
Peer Pressure,"['Social Influence', 'Risk Taking', 'Identity Formation']",True,llama3-70b,psychology
Traumatic Experience,"['Stress Response', 'Emotional Regulation', 'Memory Formation']",True,llama3-70b,psychology
Mindfulness Practice,"['Attention Control', 'Emotional Regulation', 'Self-Awareness']",True,llama3-70b,psychology
Emotional Support,"['Social Connection', 'Stress Reduction', 'Mental Health']",True,llama3-70b,psychology
Learning Disability,"['Cognitive Ability', 'Academic Achievement', 'Neuroplasticity']",True,llama3-70b,psychology
Group Therapy,"['Social Support', 'Coping Mechanism', 'Mental Health']",True,llama3-70b,psychology
Neurofeedback Training,"['Social Connection', 'Stress Reduction', 'Mental Health']",False,llama3-70b,psychology
Neurofeedback Training,"['Self-Awareness', 'Empathy', 'Social Skills']",False,llama3-70b,psychology
Neurofeedback Training,"['Social Influence', 'Risk Taking', 'Identity Formation']",False,llama3-70b,psychology
Social Media Addiction,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",False,llama3-70b,psychology
Emotional Intelligence,"['Social Connection', 'Stress Reduction', 'Mental Health']",False,llama3-70b,psychology
Neurofeedback Training,"['Information Processing', 'Decision Making', 'Error Detection']",False,llama3-70b,psychology
Peer Pressure,"['Brain Function', 'Self-Regulation', 'Cognitive Ability']",False,llama3-70b,psychology
Traumatic Experience,"['Attention Control', 'Emotional Regulation', 'Self-Awareness']",False,llama3-70b,psychology
Traumatic Experience,"['Social Influence', 'Risk Taking', 'Identity Formation']",False,llama3-70b,psychology
Emotional Intelligence,"['Social Support', 'Coping Mechanism', 'Mental Health']",False,llama3-70b,psychology
Demographic Shifts,"['Labor Market', 'Consumer Behavior', 'Economic Growth']",True,llama3-70b,finance
Mergers and Acquisitions,"['Corporate Strategy', 'Financial Performance', 'Market Trends']",True,llama3-70b,finance
Currency Fluctuations,"['Exchange Rates', 'International Trade', 'Financial Markets']",True,llama3-70b,finance
Regulatory Changes,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",True,llama3-70b,finance
Geopolitical Tensions,"['Political Risk', 'International Relations', 'Financial Markets']",True,llama3-70b,finance
Fiscal Policy Changes,"['Government Spending', 'Taxation', 'Economic Growth']",True,llama3-70b,finance
Environmental Concerns,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",True,llama3-70b,finance
Global Economic Downturn,"['Economic Indicators', 'Financial Performance', 'Market Trends']",True,llama3-70b,finance
Central Bank Intervention,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",True,llama3-70b,finance
Technological Disruption,"['Innovation', 'Operational Efficiency', 'Competitive Landscape']",True,llama3-70b,finance
Demographic Shifts,"['Government Spending', 'Taxation', 'Economic Growth']",False,llama3-70b,finance
Mergers and Acquisitions,"['Labor Market', 'Consumer Behavior', 'Economic Growth']",False,llama3-70b,finance
Currency Fluctuations,"['Government Spending', 'Taxation', 'Economic Growth']",False,llama3-70b,finance
Demographic Shifts,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",False,llama3-70b,finance
Regulatory Changes,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",False,llama3-70b,finance
Regulatory Changes,"['Corporate Strategy', 'Financial Performance', 'Market Trends']",False,llama3-70b,finance
Fiscal Policy Changes,"['Monetary Policy', 'Economic Indicators', 'Financial Markets']",False,llama3-70b,finance
Currency Fluctuations,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",False,llama3-70b,finance
Mergers and Acquisitions,"['Compliance Requirements', 'Risk Management', 'Industry Standards']",False,llama3-70b,finance
Demographic Shifts,"['Sustainability', 'Risk Management', 'Regulatory Requirements']",False,llama3-70b,finance
Transit-Oriented Development,"['Urban Planning', 'Transportation']",True,mixtral-8x22b-instruct,urban studies
Urban Resilience,"['Disaster Risk Reduction', 'Urban Planning']",True,mixtral-8x22b-instruct,urban studies
Gentrification,"['Neighborhood Change', 'Demographic Shift']",True,mixtral-8x22b-instruct,urban studies
Smart City Initiatives,"['Urban Governance', 'Technology']",True,mixtral-8x22b-instruct,urban studies
Green Infrastructure,"['Urban Ecosystem Services', 'Urban Design']",True,mixtral-8x22b-instruct,urban studies
Urban Agriculture,"['Food Production', 'Land Use']",True,mixtral-8x22b-instruct,urban studies
Adaptive Reuse,"['Historic Preservation', 'Urban Development']",True,mixtral-8x22b-instruct,urban studies
Urban Heat Island Effect,"['Urban Climate', 'Land Cover']",True,mixtral-8x22b-instruct,urban studies
Suburban Sprawl,"['Urbanization Pattern', 'Land Use']",True,mixtral-8x22b-instruct,urban studies
Mixed-Use Development,"['Land Use', 'Urban Form']",True,mixtral-8x22b-instruct,urban studies
Transit-Oriented Development,"['Urbanization Pattern', 'Land Use']",False,mixtral-8x22b-instruct,urban studies
Urban Resilience,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies
Gentrification,"['Disaster Risk Reduction', 'Urban Planning']",False,mixtral-8x22b-instruct,urban studies
Smart City Initiatives,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies
Green Infrastructure,"['Urbanization Pattern', 'Land Use']",False,mixtral-8x22b-instruct,urban studies
Urban Agriculture,"['Disaster Risk Reduction', 'Urban Planning']",False,mixtral-8x22b-instruct,urban studies
Urban Agriculture,"['Neighborhood Change', 'Demographic Shift']",False,mixtral-8x22b-instruct,urban studies
Smart City Initiatives,"['Urban Planning', 'Transportation']",False,mixtral-8x22b-instruct,urban studies
Adaptive Reuse,"['Urban Climate', 'Land Cover']",False,mixtral-8x22b-instruct,urban studies
Urban Heat Island Effect,"['Food Production', 'Land Use']",False,mixtral-8x22b-instruct,urban studies
Wave-particle duality,"['Particle nature', 'Wave nature']",True,mixtral-8x22b-instruct,physics
Superconductivity,"['Electrical resistance', 'Magnetic field expulsion']",True,mixtral-8x22b-instruct,physics
Quantum entanglement,"['Particle correlation', 'Measurement outcome']",True,mixtral-8x22b-instruct,physics
Electromagnetic induction,"['Magnetic field', 'Electric current']",True,mixtral-8x22b-instruct,physics
Photon absorption and emission,"['Electron energy levels', 'Photon energy']",True,mixtral-8x22b-instruct,physics
Radioactive decay,"['Nuclear stability', 'Radiation emission']",True,mixtral-8x22b-instruct,physics
Nuclear fission,"['Nuclear energy', 'Nuclear waste']",True,mixtral-8x22b-instruct,physics
Phase transitions,"['Intermolecular forces', 'Physical state']",True,mixtral-8x22b-instruct,physics
Black hole event horizon,"['Gravitational pull', 'Escape velocity']",True,mixtral-8x22b-instruct,physics
Solar radiation absorption,"['Temperature', 'Energy conversion']",True,mixtral-8x22b-instruct,physics
Wave-particle duality,"['Magnetic field', 'Electric current']",False,mixtral-8x22b-instruct,physics
Superconductivity,"['Magnetic field', 'Electric current']",False,mixtral-8x22b-instruct,physics
Wave-particle duality,"['Particle correlation', 'Measurement outcome']",False,mixtral-8x22b-instruct,physics
Quantum entanglement,"['Electron energy levels', 'Photon energy']",False,mixtral-8x22b-instruct,physics
Electromagnetic induction,"['Gravitational pull', 'Escape velocity']",False,mixtral-8x22b-instruct,physics
Photon absorption and emission,"['Intermolecular forces', 'Physical state']",False,mixtral-8x22b-instruct,physics
Radioactive decay,"['Intermolecular forces', 'Physical state']",False,mixtral-8x22b-instruct,physics
Superconductivity,"['Electron energy levels', 'Photon energy']",False,mixtral-8x22b-instruct,physics
Quantum entanglement,"['Temperature', 'Energy conversion']",False,mixtral-8x22b-instruct,physics
Nuclear fission,"['Particle nature', 'Wave nature']",False,mixtral-8x22b-instruct,physics
Sedentary lifestyle and high-salt diet,"['Physical activity level', 'Dietary habits']",True,mixtral-8x22b-instruct,health
Regular exercise and balanced diet,"['Physical activity level', 'Dietary habits']",True,mixtral-8x22b-instruct,health
Active social life and mental well-being,"['Social engagement', 'Mental health status']",True,mixtral-8x22b-instruct,health
Adequate sleep and stress management,"['Sleep duration', 'Stress levels']",True,mixtral-8x22b-instruct,health
Infrequent medical check-ups and poor medication adherence,"['Healthcare utilization', 'Medication adherence']",True,mixtral-8x22b-instruct,health
Isolated lifestyle and poor mental health,"['Social engagement', 'Mental health status']",True,mixtral-8x22b-instruct,health
Inadequate sleep and high stress,"['Sleep duration', 'Stress levels']",True,mixtral-8x22b-instruct,health
Overweight and poor nutrition,"['Body weight', 'Nutritional status']",True,mixtral-8x22b-instruct,health
Healthy body weight and balanced nutrition,"['Body weight', 'Nutritional status']",True,mixtral-8x22b-instruct,health
Regular medical check-ups and medication adherence,"['Healthcare utilization', 'Medication adherence']",True,mixtral-8x22b-instruct,health
Sedentary lifestyle and high-salt diet,"['Social engagement', 'Mental health status']",False,mixtral-8x22b-instruct,health
Active social life and mental well-being,"['Healthcare utilization', 'Medication adherence']",False,mixtral-8x22b-instruct,health
Adequate sleep and stress management,"['Physical activity level', 'Dietary habits']",False,mixtral-8x22b-instruct,health
Isolated lifestyle and poor mental health,"['Sleep duration', 'Stress levels']",False,mixtral-8x22b-instruct,health
Regular exercise and balanced diet,"['Sleep duration', 'Stress levels']",False,mixtral-8x22b-instruct,health
Adequate sleep and stress management,"['Healthcare utilization', 'Medication adherence']",False,mixtral-8x22b-instruct,health
Inadequate sleep and high stress,"['Social engagement', 'Mental health status']",False,mixtral-8x22b-instruct,health
Overweight and poor nutrition,"['Body weight', 'Nutritional status']",False,mixtral-8x22b-instruct,health
Active social life and mental well-being,"['Body weight', 'Nutritional status']",False,mixtral-8x22b-instruct,health
Regular exercise and balanced diet,"['Physical activity level', 'Dietary habits']",False,mixtral-8x22b-instruct,health
Thermal oxidation with wet oxygen,"['Oxidation process', 'Oxidation environment']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Chemical vapor deposition with silane gas,"['Deposition process', 'Deposition gas']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Photolithography process with 193nm wavelength,"['Lithography process', 'Lithography wavelength']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Electroplating with copper,"['Plating process', 'Plating material']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Etching process with fluorine-based plasma,"['Etching process', 'Etching gas']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Metallization with aluminum,"['Metallization process', 'Metallization material']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Physical vapor deposition with sputtering,"['Deposition process', 'Deposition method']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Rapid thermal annealing with inert gas,"['Annealing process', 'Annealing environment']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Ion implantation with boron ions,"['Ion implantation process', 'Ion implantation species']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Chemical mechanical planarization with silica slurry,"['Planarization process', 'Planarization slurry']",True,mixtral-8x22b-instruct,semiconductor manufacturing
Thermal oxidation with wet oxygen,"['Etching process', 'Etching gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Chemical vapor deposition with silane gas,"['Planarization process', 'Planarization slurry']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Photolithography process with 193nm wavelength,"['Etching process', 'Etching gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Thermal oxidation with wet oxygen,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Electroplating with copper,"['Oxidation process', 'Oxidation environment']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Etching process with fluorine-based plasma,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Electroplating with copper,"['Deposition process', 'Deposition gas']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Thermal oxidation with wet oxygen,"['Deposition process', 'Deposition method']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Metallization with aluminum,"['Lithography process', 'Lithography wavelength']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Physical vapor deposition with sputtering,"['Oxidation process', 'Oxidation environment']",False,mixtral-8x22b-instruct,semiconductor manufacturing
Agile software development methodology,"['Software development methodology', 'Development approach']",True,mixtral-8x22b-instruct,computer science
Database management system,"['Data management system', 'Data management method']",True,mixtral-8x22b-instruct,computer science
Distributed system architecture,"['System architecture', 'Component interaction']",True,mixtral-8x22b-instruct,computer science
Web application development,"['Application type', 'Development platform']",True,mixtral-8x22b-instruct,computer science
Cybersecurity threat detection,"['Security domain', 'Threat detection method']",True,mixtral-8x22b-instruct,computer science
Object-oriented programming paradigm,"['Programming paradigm', 'Code organization']",True,mixtral-8x22b-instruct,computer science
Machine learning model deployment,"['Model deployment', 'Model type']",True,mixtral-8x22b-instruct,computer science
Data visualization techniques,"['Data representation', 'Visualization method']",True,mixtral-8x22b-instruct,computer science
Cloud-based data processing,"['Data storage location', 'Data processing method']",True,mixtral-8x22b-instruct,computer science
Secure network communication,"['Network protocol', 'Data encryption']",True,mixtral-8x22b-instruct,computer science
Agile software development methodology,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science
Database management system,"['System architecture', 'Component interaction']",False,mixtral-8x22b-instruct,computer science
Distributed system architecture,"['Data storage location', 'Data processing method']",False,mixtral-8x22b-instruct,computer science
Web application development,"['Data representation', 'Visualization method']",False,mixtral-8x22b-instruct,computer science
Distributed system architecture,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science
Distributed system architecture,"['Model deployment', 'Model type']",False,mixtral-8x22b-instruct,computer science
Cybersecurity threat detection,"['Data management system', 'Data management method']",False,mixtral-8x22b-instruct,computer science
Database management system,"['Data representation', 'Visualization method']",False,mixtral-8x22b-instruct,computer science
Web application development,"['System architecture', 'Component interaction']",False,mixtral-8x22b-instruct,computer science
Database management system,"['Software development methodology', 'Development approach']",False,mixtral-8x22b-instruct,computer science
Urban poverty,"['Level of urbanization', 'Poverty level']",True,mixtral-8x22b-instruct,sociology
Urban gentrification,"['Level of urbanization', 'Gentrification level']",True,mixtral-8x22b-instruct,sociology
Inner-city crime,"['Inner-city area', 'Crime level']",True,mixtral-8x22b-instruct,sociology
Urban inequality,"['Level of urbanization', 'Inequality level']",True,mixtral-8x22b-instruct,sociology
Rural education,"['Level of rurality', 'Education level']",True,mixtral-8x22b-instruct,sociology
Suburban diversity,"['Suburban area', 'Diversity level']",True,mixtral-8x22b-instruct,sociology
Suburban wealth,"['Suburban area', 'Wealth level']",True,mixtral-8x22b-instruct,sociology
Rural migration,"['Level of rurality', 'Migration level']",True,mixtral-8x22b-instruct,sociology
Inner-city segregation,"['Inner-city area', 'Segregation level']",True,mixtral-8x22b-instruct,sociology
Rural unemployment,"['Level of rurality', 'Unemployment level']",True,mixtral-8x22b-instruct,sociology
Urban poverty,"['Suburban area', 'Wealth level']",False,mixtral-8x22b-instruct,sociology
Urban gentrification,"['Suburban area', 'Diversity level']",False,mixtral-8x22b-instruct,sociology
Inner-city crime,"['Inner-city area', 'Segregation level']",False,mixtral-8x22b-instruct,sociology
Urban inequality,"['Level of rurality', 'Education level']",False,mixtral-8x22b-instruct,sociology
Urban gentrification,"['Inner-city area', 'Segregation level']",False,mixtral-8x22b-instruct,sociology
Suburban diversity,"['Level of rurality', 'Unemployment level']",False,mixtral-8x22b-instruct,sociology
Suburban diversity,"['Level of rurality', 'Migration level']",False,mixtral-8x22b-instruct,sociology
Rural migration,"['Inner-city area', 'Crime level']",False,mixtral-8x22b-instruct,sociology
Inner-city crime,"['Suburban area', 'Wealth level']",False,mixtral-8x22b-instruct,sociology
Suburban diversity,"['Inner-city area', 'Crime level']",False,mixtral-8x22b-instruct,sociology
Growth mindset and resilience,"['Mindset type', 'Resilience level']",True,mixtral-8x22b-instruct,psychology
Negative self-talk and low self-esteem,"['Self-talk type', 'Self-esteem level']",True,mixtral-8x22b-instruct,psychology
Cognitive distortions and negative thinking,"['Cognitive distortions level', 'Negative thinking level']",True,mixtral-8x22b-instruct,psychology
Perfectionism and fear of failure,"['Perfectionism level', 'Fear of failure level']",True,mixtral-8x22b-instruct,psychology
Chronic stress and anxiety,"['Stress level', 'Anxiety level']",True,mixtral-8x22b-instruct,psychology
